question,passage_title,sia_score
"How many weeks did the lead single from Culture Beat's second studio album spend at number one on the ""RPM"" Dance chart in Canada?ten weeks",No Deeper Meaning,1.81
"Walloon Legion, a collaborationist volunteer unit, that served on the Eastern Front, in which war?World War II",Walloon Legion,1.89
"Walloon Legion, a collaborationist volunteer unit, that served on the Eastern Front, in which war?World War II",Croatian Air Force Legion,2.31
"Walloon Legion, a collaborationist volunteer unit, that served on the Eastern Front, in which war?World War II",Eastern Front (World War II),1.34
"Walloon Legion, a collaborationist volunteer unit, that served on the Eastern Front, in which war?World War II",Prit Buttar,0.79
"Walloon Legion, a collaborationist volunteer unit, that served on the Eastern Front, in which war?World War II",Indian Legion,0.91
"Walloon Legion, a collaborationist volunteer unit, that served on the Eastern Front, in which war?World War II",1st Devonshire Engineers,1.2
"Walloon Legion, a collaborationist volunteer unit, that served on the Eastern Front, in which war?World War II",Aberdeen Fortress Royal Engineers,1.18
"Walloon Legion, a collaborationist volunteer unit, that served on the Eastern Front, in which war?World War II",Kaukasisch-Mohammedanische Legion,1.46
"Walloon Legion, a collaborationist volunteer unit, that served on the Eastern Front, in which war?World War II",Cornwall Fortress Royal Engineers,1.02
"Walloon Legion, a collaborationist volunteer unit, that served on the Eastern Front, in which war?World War II",11th Illinois Volunteer Infantry Regiment,1.03
"Before finishing her feature film, Something's Got to Give, when did American actress, model and one of the most popular sex symbols of the 1950s, Marilyn Monroe die?August 5, 1962",Jayne Mansfield in popular culture,1.81
"Before finishing her feature film, Something's Got to Give, when did American actress, model and one of the most popular sex symbols of the 1950s, Marilyn Monroe die?August 5, 1962",Marilyn Manson (band),1.04
"Before finishing her feature film, Something's Got to Give, when did American actress, model and one of the most popular sex symbols of the 1950s, Marilyn Monroe die?August 5, 1962",Marilyn: The Untold Story,0.84
"Before finishing her feature film, Something's Got to Give, when did American actress, model and one of the most popular sex symbols of the 1950s, Marilyn Monroe die?August 5, 1962",Bo Derek,1.14
"Before finishing her feature film, Something's Got to Give, when did American actress, model and one of the most popular sex symbols of the 1950s, Marilyn Monroe die?August 5, 1962",Marilyn Monroe,1.21
"Before finishing her feature film, Something's Got to Give, when did American actress, model and one of the most popular sex symbols of the 1950s, Marilyn Monroe die?August 5, 1962",The Legend of Marilyn Monroe,1.59
"Before finishing her feature film, Something's Got to Give, when did American actress, model and one of the most popular sex symbols of the 1950s, Marilyn Monroe die?August 5, 1962",Sunny Thompson,1.29
"Before finishing her feature film, Something's Got to Give, when did American actress, model and one of the most popular sex symbols of the 1950s, Marilyn Monroe die?August 5, 1962",Promises! Promises!,0.42
"Before finishing her feature film, Something's Got to Give, when did American actress, model and one of the most popular sex symbols of the 1950s, Marilyn Monroe die?August 5, 1962",Something's Got to Give,1.43
"Before finishing her feature film, Something's Got to Give, when did American actress, model and one of the most popular sex symbols of the 1950s, Marilyn Monroe die?August 5, 1962","Move Over, Darling",1.2
"Which was released second, Charley and the Angel or Planes?Planes",Kiss an Angel Good Mornin',1.38
"Which was released second, Charley and the Angel or Planes?Planes",Another Way to Die (Disturbed song),0.65
"Which was released second, Charley and the Angel or Planes?Planes",(I'm So) Afraid of Losing You Again,0.54
"Which was released second, Charley and the Angel or Planes?Planes",Paper Planes,0.97
"Which was released second, Charley and the Angel or Planes?Planes",Hotter than Hell Tour (Kiss),0.77
"Which was released second, Charley and the Angel or Planes?Planes",Hope You're Feelin' Me (Like I'm Feelin' You),0.48
"Which was released second, Charley and the Angel or Planes?Planes",Sibel Alaş,0.84
"Which was released second, Charley and the Angel or Planes?Planes",Charley and the Angel,0.65
"Which was released second, Charley and the Angel or Planes?Planes",Planes (film),1.08
"Which was released second, Charley and the Angel or Planes?Planes",Anadilim Aşk,0.79
Which of the following documents the issues of the LGBT community: Pride Divide or The Big Melt?Pride Divide,Equality Michigan,0.58
Which of the following documents the issues of the LGBT community: Pride Divide or The Big Melt?Pride Divide,.lgbt,1.4
Which of the following documents the issues of the LGBT community: Pride Divide or The Big Melt?Pride Divide,Pride Divide,1.45
Which of the following documents the issues of the LGBT community: Pride Divide or The Big Melt?Pride Divide,LGBT community,2.05
Which of the following documents the issues of the LGBT community: Pride Divide or The Big Melt?Pride Divide,Baltic Pride,1.12
Which of the following documents the issues of the LGBT community: Pride Divide or The Big Melt?Pride Divide,CenterLink,1.33
Which of the following documents the issues of the LGBT community: Pride Divide or The Big Melt?Pride Divide,Forum for Equality,1.18
Which of the following documents the issues of the LGBT community: Pride Divide or The Big Melt?Pride Divide,Rainbow flag (LGBT movement),1.12
Which of the following documents the issues of the LGBT community: Pride Divide or The Big Melt?Pride Divide,GayOne,0.73
Which of the following documents the issues of the LGBT community: Pride Divide or The Big Melt?Pride Divide,The Big Melt,0.59
Silent Möbius is heavily influenced by the movie directed by whom?Ridley Scott,The Electrics,0.55
Silent Möbius is heavily influenced by the movie directed by whom?Ridley Scott,Yang people,0.65
Silent Möbius is heavily influenced by the movie directed by whom?Ridley Scott,Kingston Rudieska,0.72
Silent Möbius is heavily influenced by the movie directed by whom?Ridley Scott,The Open (band),0.73
Silent Möbius is heavily influenced by the movie directed by whom?Ridley Scott,List of Chinese military texts,0.53
Silent Möbius is heavily influenced by the movie directed by whom?Ridley Scott,Blade Runner,0.84
Silent Möbius is heavily influenced by the movie directed by whom?Ridley Scott,J. Hillis Miller,0.94
Silent Möbius is heavily influenced by the movie directed by whom?Ridley Scott,Sano Sansar,0.97
Silent Möbius is heavily influenced by the movie directed by whom?Ridley Scott,Silent Möbius,1.25
Silent Möbius is heavily influenced by the movie directed by whom?Ridley Scott,Barranquenho,0.54
What number album of Taylor Swift did Colbie Marie Caillat win a Grammy for?second,Coco (album),1.12
What number album of Taylor Swift did Colbie Marie Caillat win a Grammy for?second,Fallin' for You (Colbie Caillat song),1.38
What number album of Taylor Swift did Colbie Marie Caillat win a Grammy for?second,Colbie Caillat discography,1.35
What number album of Taylor Swift did Colbie Marie Caillat win a Grammy for?second,Fearless (Taylor Swift album),1.37
What number album of Taylor Swift did Colbie Marie Caillat win a Grammy for?second,Christmas in the Sand (song),1.18
What number album of Taylor Swift did Colbie Marie Caillat win a Grammy for?second,Christmas in the Sand,1.22
What number album of Taylor Swift did Colbie Marie Caillat win a Grammy for?second,Colbie Caillat,1.3
What number album of Taylor Swift did Colbie Marie Caillat win a Grammy for?second,The Taylor Swift Holiday Collection,0.94
What number album of Taylor Swift did Colbie Marie Caillat win a Grammy for?second,Mikal Blue,1.25
What number album of Taylor Swift did Colbie Marie Caillat win a Grammy for?second,Breathe (Taylor Swift song),1.14
"Who was born first, Martin Heidegger or Lydia Davis?Martin Heidegger",Martin Heidegger and Nazism,0.86
"Who was born first, Martin Heidegger or Lydia Davis?Martin Heidegger",Mark Wrathall,1.18
"Who was born first, Martin Heidegger or Lydia Davis?Martin Heidegger",The Origin of the Work of Art,1.35
"Who was born first, Martin Heidegger or Lydia Davis?Martin Heidegger",William J. Richardson,0.87
"Who was born first, Martin Heidegger or Lydia Davis?Martin Heidegger",Otto Pöggeler,1.03
"Who was born first, Martin Heidegger or Lydia Davis?Martin Heidegger",Richard M. Capobianco,1.3
"Who was born first, Martin Heidegger or Lydia Davis?Martin Heidegger",Black Notebooks,0.86
"Who was born first, Martin Heidegger or Lydia Davis?Martin Heidegger",Martin Heidegger,1.36
"Who was born first, Martin Heidegger or Lydia Davis?Martin Heidegger",La sombra de Heidegger,0.78
"Who was born first, Martin Heidegger or Lydia Davis?Martin Heidegger",Lydia Davis,1.48
Mike Gibbons won the middleweight championship after the previous champion was found murdered where?Missouri,Cachorro Mendoza,0.57
Mike Gibbons won the middleweight championship after the previous champion was found murdered where?Missouri,Mike McNulty (boxing manager),0.96
Mike Gibbons won the middleweight championship after the previous champion was found murdered where?Missouri,Frank Shamrock,1.23
Mike Gibbons won the middleweight championship after the previous champion was found murdered where?Missouri,Mike O'Dowd,1.21
Mike Gibbons won the middleweight championship after the previous champion was found murdered where?Missouri,Stanley Ketchel,1.18
Mike Gibbons won the middleweight championship after the previous champion was found murdered where?Missouri,Mike Gibbons,1.86
Mike Gibbons won the middleweight championship after the previous champion was found murdered where?Missouri,Julio César Chávez Jr. vs. Sebastian Zbik,1.0
Mike Gibbons won the middleweight championship after the previous champion was found murdered where?Missouri,Dan Henderson,1.07
Mike Gibbons won the middleweight championship after the previous champion was found murdered where?Missouri,Ringo Mendoza,0.78
Mike Gibbons won the middleweight championship after the previous champion was found murdered where?Missouri,Jeff Smith (boxer),1.41
Are Thums Up and Mott's based in the same country?no,C.S. Mott Children's Hospital,0.74
Are Thums Up and Mott's based in the same country?no,Ruth Mott,1.07
Are Thums Up and Mott's based in the same country?no,Rasna,0.81
Are Thums Up and Mott's based in the same country?no,Mott Community College,0.64
Are Thums Up and Mott's based in the same country?no,Coca-Cola India,0.49
Are Thums Up and Mott's based in the same country?no,Mott's,1.22
Are Thums Up and Mott's based in the same country?no,Thums Up,0.77
Are Thums Up and Mott's based in the same country?no,"Mott, Hay and Anderson",0.92
Are Thums Up and Mott's based in the same country?no,Frankie Ballard,0.32
What roles does American actress which  Manfish featured in  the motion picture debut of do playcomic roles,Lindsay Lohan filmography,0.97
What roles does American actress which  Manfish featured in  the motion picture debut of do playcomic roles,Galgale Nighale,0.66
What roles does American actress which  Manfish featured in  the motion picture debut of do playcomic roles,Barbara Nichols,0.96
What roles does American actress which  Manfish featured in  the motion picture debut of do playcomic roles,Ladybug Ladybug (film),0.78
What roles does American actress which  Manfish featured in  the motion picture debut of do playcomic roles,Manfish,0.93
What roles does American actress which  Manfish featured in  the motion picture debut of do playcomic roles,The Battle (1911 film),0.47
What roles does American actress which  Manfish featured in  the motion picture debut of do playcomic roles,The Nightingale (1914 film),0.65
What roles does American actress which  Manfish featured in  the motion picture debut of do playcomic roles,Molly Ringwald,0.94
What roles does American actress which  Manfish featured in  the motion picture debut of do playcomic roles,Lindsay Lohan,0.83
What roles does American actress which  Manfish featured in  the motion picture debut of do playcomic roles,Paige O'Hara,1.0
"Which genus has more species, Fir or Chelone?Firs",Cunninghamia,1.32
"Which genus has more species, Fir or Chelone?Firs",Peucephyllum,1.18
"Which genus has more species, Fir or Chelone?Firs",Chelone (plant),1.47
"Which genus has more species, Fir or Chelone?Firs",Pseudotsuga,1.54
"Which genus has more species, Fir or Chelone?Firs",Abies milleri,0.98
"Which genus has more species, Fir or Chelone?Firs",Abies spectabilis,1.42
"Which genus has more species, Fir or Chelone?Firs",Piloporia,1.18
"Which genus has more species, Fir or Chelone?Firs",Huperzia,1.63
"Which genus has more species, Fir or Chelone?Firs",Fir,2.04
"Which genus has more species, Fir or Chelone?Firs",Abies beshanzuensis,1.04
John Kassir and Tom Kenny both voice this one character?Ice King,Scooter (talking baseball),1.1
John Kassir and Tom Kenny both voice this one character?Ice King,Secrets of the Cryptkeeper's Haunted House,1.0
John Kassir and Tom Kenny both voice this one character?Ice King,Channels (film),0.74
John Kassir and Tom Kenny both voice this one character?Ice King,Kung Fu Magoo,1.05
John Kassir and Tom Kenny both voice this one character?Ice King,I Know That Voice,1.33
John Kassir and Tom Kenny both voice this one character?Ice King,John Kassir,1.32
John Kassir and Tom Kenny both voice this one character?Ice King,Adventure Time (pilot),1.36
John Kassir and Tom Kenny both voice this one character?Ice King,Ice King,2.17
John Kassir and Tom Kenny both voice this one character?Ice King,The Amanda Show,0.84
John Kassir and Tom Kenny both voice this one character?Ice King,And Then There Was Eve,0.88
What year did the the German composer whose compositions are in The Individualism of Gil Evans die?1950,The Individualism of Gil Evans,1.07
What year did the the German composer whose compositions are in The Individualism of Gil Evans die?1950,Marco Oppedisano,0.84
What year did the the German composer whose compositions are in The Individualism of Gil Evans die?1950,Mike Lipskin,0.67
What year did the the German composer whose compositions are in The Individualism of Gil Evans die?1950,Kurt Weill,1.08
What year did the the German composer whose compositions are in The Individualism of Gil Evans die?1950,Bryan Kelly,1.01
What year did the the German composer whose compositions are in The Individualism of Gil Evans die?1950,Gil Evans &amp; Ten,0.84
What year did the the German composer whose compositions are in The Individualism of Gil Evans die?1950,New Bottle Old Wine,0.98
What year did the the German composer whose compositions are in The Individualism of Gil Evans die?1950,Mixed (album),0.84
What year did the the German composer whose compositions are in The Individualism of Gil Evans die?1950,Blues in Orbit (Gil Evans album),1.27
What year did the the German composer whose compositions are in The Individualism of Gil Evans die?1950,Svengali (album),1.25
At which laboratory was Carsten Olsen employed as an assistant to the Danish chemist who introduced the concept of pH?Carlsberg Laboratory,Christen Thomsen Barfoed,1.68
At which laboratory was Carsten Olsen employed as an assistant to the Danish chemist who introduced the concept of pH?Carlsberg Laboratory,S. P. L. Sørensen,1.87
At which laboratory was Carsten Olsen employed as an assistant to the Danish chemist who introduced the concept of pH?Carlsberg Laboratory,Carsten Olsen,1.9
At which laboratory was Carsten Olsen employed as an assistant to the Danish chemist who introduced the concept of pH?Carlsberg Laboratory,Holger F. Struer,1.52
At which laboratory was Carsten Olsen employed as an assistant to the Danish chemist who introduced the concept of pH?Carlsberg Laboratory,Haldor Topsøe (1842–1935),1.25
At which laboratory was Carsten Olsen employed as an assistant to the Danish chemist who introduced the concept of pH?Carlsberg Laboratory,Carl Andreas Koefoed,1.1
At which laboratory was Carsten Olsen employed as an assistant to the Danish chemist who introduced the concept of pH?Carlsberg Laboratory,Thomsen–Berthelot principle,1.36
At which laboratory was Carsten Olsen employed as an assistant to the Danish chemist who introduced the concept of pH?Carlsberg Laboratory,Paul D. Boyer,0.95
At which laboratory was Carsten Olsen employed as an assistant to the Danish chemist who introduced the concept of pH?Carlsberg Laboratory,Johan Kjeldahl,1.72
At which laboratory was Carsten Olsen employed as an assistant to the Danish chemist who introduced the concept of pH?Carlsberg Laboratory,Bergnart Carl Lewy,1.18
What nationality is the male lead of the film Fishtales?American,Sushant Singh Rajput,0.8
What nationality is the male lead of the film Fishtales?American,Kōki Uchiyama,0.67
What nationality is the male lead of the film Fishtales?American,Suvarna Sundari,0.69
What nationality is the male lead of the film Fishtales?American,Fishtales,1.36
What nationality is the male lead of the film Fishtales?American,Frankie and Johnny Are Married,0.92
What nationality is the male lead of the film Fishtales?American,Billy Zane,0.82
What nationality is the male lead of the film Fishtales?American,Love in Nepal,0.88
What nationality is the male lead of the film Fishtales?American,Single Princesses and Blind Dates,0.83
What nationality is the male lead of the film Fishtales?American,Athadu Aame o Scooter,0.64
What nationality is the male lead of the film Fishtales?American,Peacock Alley (1930 film),0.97
What German automotive marque does the high-performance aftermarket tuning company Brabus specialize in?Smart,Gemballa,1.04
What German automotive marque does the high-performance aftermarket tuning company Brabus specialize in?Smart,Brabus Rocket,2.31
What German automotive marque does the high-performance aftermarket tuning company Brabus specialize in?Smart,Smart (marque),1.67
What German automotive marque does the high-performance aftermarket tuning company Brabus specialize in?Smart,Spiess Tuning,1.46
What German automotive marque does the high-performance aftermarket tuning company Brabus specialize in?Smart,RE Amemiya,1.07
What German automotive marque does the high-performance aftermarket tuning company Brabus specialize in?Smart,Brabus,2.52
What German automotive marque does the high-performance aftermarket tuning company Brabus specialize in?Smart,Evans Tuning,1.5
What German automotive marque does the high-performance aftermarket tuning company Brabus specialize in?Smart,GReddy,1.48
What German automotive marque does the high-performance aftermarket tuning company Brabus specialize in?Smart,Brabus E V12,1.82
What German automotive marque does the high-performance aftermarket tuning company Brabus specialize in?Smart,Audi Performance and Racing,1.27
Which 20th Century Fox film cast Zazie Beetz as Domino?Deadpool 2,List of Fox Film films,1.25
Which 20th Century Fox film cast Zazie Beetz as Domino?Deadpool 2,20th Century Fox,0.9
Which 20th Century Fox film cast Zazie Beetz as Domino?Deadpool 2,20th Century Fox Film Noir,1.28
Which 20th Century Fox film cast Zazie Beetz as Domino?Deadpool 2,Deadpool 2,1.74
Which 20th Century Fox film cast Zazie Beetz as Domino?Deadpool 2,Zazie Beetz,1.88
Which 20th Century Fox film cast Zazie Beetz as Domino?Deadpool 2,20th Century Fox Home Entertainment,0.87
Which 20th Century Fox film cast Zazie Beetz as Domino?Deadpool 2,Fox Searchlight Pictures,1.0
Which 20th Century Fox film cast Zazie Beetz as Domino?Deadpool 2,List of 20th Century Fox films (1935–99),1.46
Which 20th Century Fox film cast Zazie Beetz as Domino?Deadpool 2,20th Century Fox Television,0.98
Which 20th Century Fox film cast Zazie Beetz as Domino?Deadpool 2,FoxNext,0.8
Which American animated television series created by Trey Parker and Matt Stone features a character called Butters who thinks up schemes to take over the world in its 86th episode?South Park,Eric Cartman,1.67
Which American animated television series created by Trey Parker and Matt Stone features a character called Butters who thinks up schemes to take over the world in its 86th episode?South Park,Chef Aid,1.34
Which American animated television series created by Trey Parker and Matt Stone features a character called Butters who thinks up schemes to take over the world in its 86th episode?South Park,South Park (season 10),1.14
Which American animated television series created by Trey Parker and Matt Stone features a character called Butters who thinks up schemes to take over the world in its 86th episode?South Park,South Park (season 2),1.88
Which American animated television series created by Trey Parker and Matt Stone features a character called Butters who thinks up schemes to take over the world in its 86th episode?South Park,South Park (season 9),1.65
Which American animated television series created by Trey Parker and Matt Stone features a character called Butters who thinks up schemes to take over the world in its 86th episode?South Park,Major Boobage,1.52
Which American animated television series created by Trey Parker and Matt Stone features a character called Butters who thinks up schemes to take over the world in its 86th episode?South Park,South Park (season 7),1.93
Which American animated television series created by Trey Parker and Matt Stone features a character called Butters who thinks up schemes to take over the world in its 86th episode?South Park,Simpsons Already Did It,1.58
Which American animated television series created by Trey Parker and Matt Stone features a character called Butters who thinks up schemes to take over the world in its 86th episode?South Park,South Park (season 8),1.27
Which American animated television series created by Trey Parker and Matt Stone features a character called Butters who thinks up schemes to take over the world in its 86th episode?South Park,South Park (season 6),1.26
"Which stadium hosts the rivalry game between the all-male, historically African American College located in Atlanta and Tuskegee?J. McClung Memorial Stadium",The Rivalry (Lehigh–Lafayette),1.4
"Which stadium hosts the rivalry game between the all-male, historically African American College located in Atlanta and Tuskegee?J. McClung Memorial Stadium",Battle of the Ravine,1.17
"Which stadium hosts the rivalry game between the all-male, historically African American College located in Atlanta and Tuskegee?J. McClung Memorial Stadium",Charles Tex Harrison,1.1
"Which stadium hosts the rivalry game between the all-male, historically African American College located in Atlanta and Tuskegee?J. McClung Memorial Stadium",Textile Bowl,1.27
"Which stadium hosts the rivalry game between the all-male, historically African American College located in Atlanta and Tuskegee?J. McClung Memorial Stadium",Battle for the Bell,1.1
"Which stadium hosts the rivalry game between the all-male, historically African American College located in Atlanta and Tuskegee?J. McClung Memorial Stadium",Magnolia Bowl,1.26
"Which stadium hosts the rivalry game between the all-male, historically African American College located in Atlanta and Tuskegee?J. McClung Memorial Stadium",Civil War (college football game),1.19
"Which stadium hosts the rivalry game between the all-male, historically African American College located in Atlanta and Tuskegee?J. McClung Memorial Stadium",Morehouse College,1.24
"Which stadium hosts the rivalry game between the all-male, historically African American College located in Atlanta and Tuskegee?J. McClung Memorial Stadium",Chicago–Michigan football rivalry,1.31
"Which stadium hosts the rivalry game between the all-male, historically African American College located in Atlanta and Tuskegee?J. McClung Memorial Stadium",A. J. McClung Memorial Stadium,2.12
Do both Juniper and Indigofera belong to the cypress family Cupressaceae?no,Cryptomeria,1.47
Do both Juniper and Indigofera belong to the cypress family Cupressaceae?no,Actinostrobus acuminatus,1.95
Do both Juniper and Indigofera belong to the cypress family Cupressaceae?no,Chamaecyparis,2.38
Do both Juniper and Indigofera belong to the cypress family Cupressaceae?no,Austrocedrus,1.96
Do both Juniper and Indigofera belong to the cypress family Cupressaceae?no,Juniper,2.39
Do both Juniper and Indigofera belong to the cypress family Cupressaceae?no,Thuja plicata,2.0
Do both Juniper and Indigofera belong to the cypress family Cupressaceae?no,Dwarf cypress,2.71
Do both Juniper and Indigofera belong to the cypress family Cupressaceae?no,Callitris columellaris,1.91
Do both Juniper and Indigofera belong to the cypress family Cupressaceae?no,Microbiota decussata,1.66
Do both Juniper and Indigofera belong to the cypress family Cupressaceae?no,Indigofera,1.84
Who is the current world record holder in high jump and uncle of Lorenzo Sotomayor Collazo? Javier Sotomayor,Lorenzo Sotomayor,1.95
Who is the current world record holder in high jump and uncle of Lorenzo Sotomayor Collazo? Javier Sotomayor,Javier Sotomayor,2.44
Who is the current world record holder in high jump and uncle of Lorenzo Sotomayor Collazo? Javier Sotomayor,Herbert Nitsch,0.96
Who is the current world record holder in high jump and uncle of Lorenzo Sotomayor Collazo? Javier Sotomayor,Alexia Sedykh,0.61
Who is the current world record holder in high jump and uncle of Lorenzo Sotomayor Collazo? Javier Sotomayor,Tom Patsalis,1.52
Who is the current world record holder in high jump and uncle of Lorenzo Sotomayor Collazo? Javier Sotomayor,Wendy Brown (heptathlete),1.12
Who is the current world record holder in high jump and uncle of Lorenzo Sotomayor Collazo? Javier Sotomayor,Chaunté Lowe,1.38
Who is the current world record holder in high jump and uncle of Lorenzo Sotomayor Collazo? Javier Sotomayor,Marshall Brooks,1.32
Who is the current world record holder in high jump and uncle of Lorenzo Sotomayor Collazo? Javier Sotomayor,Kathy Bergen,1.35
Who is the current world record holder in high jump and uncle of Lorenzo Sotomayor Collazo? Javier Sotomayor,Galina Chistyakova,1.31
"What film director is from Great Britain, Miloš Forman or Alex Cox?Alexander ""Alex"" Cox",Pavel Juráček,0.92
"What film director is from Great Britain, Miloš Forman or Alex Cox?Alexander ""Alex"" Cox",Taking Off (film),1.66
"What film director is from Great Britain, Miloš Forman or Alex Cox?Alexander ""Alex"" Cox",Alex Cox,1.96
"What film director is from Great Britain, Miloš Forman or Alex Cox?Alexander ""Alex"" Cox",Karel Kachyňa,0.75
"What film director is from Great Britain, Miloš Forman or Alex Cox?Alexander ""Alex"" Cox",Jay Russell,0.97
"What film director is from Great Britain, Miloš Forman or Alex Cox?Alexander ""Alex"" Cox",47th Berlin International Film Festival,1.11
"What film director is from Great Britain, Miloš Forman or Alex Cox?Alexander ""Alex"" Cox",Jana Brejchová,1.18
"What film director is from Great Britain, Miloš Forman or Alex Cox?Alexander ""Alex"" Cox",Courtney Love filmography,1.03
"What film director is from Great Britain, Miloš Forman or Alex Cox?Alexander ""Alex"" Cox",Miloš Forman,1.77
"What film director is from Great Britain, Miloš Forman or Alex Cox?Alexander ""Alex"" Cox",Miroslav Ondříček,1.28
What Category 5 hurricane cause the Sqannanoa River to flood?Hurricane Ivan,Hurricane Felix,1.8
What Category 5 hurricane cause the Sqannanoa River to flood?Hurricane Ivan,Hurricane Edith (1971),1.55
What Category 5 hurricane cause the Sqannanoa River to flood?Hurricane Ivan,Hurricane David,1.57
What Category 5 hurricane cause the Sqannanoa River to flood?Hurricane Ivan,Hurricane Wilma,1.63
What Category 5 hurricane cause the Sqannanoa River to flood?Hurricane Ivan,2007 Atlantic hurricane season,1.61
What Category 5 hurricane cause the Sqannanoa River to flood?Hurricane Ivan,Hurricane Carla,1.63
What Category 5 hurricane cause the Sqannanoa River to flood?Hurricane Ivan,Hurricane Ivan,2.07
What Category 5 hurricane cause the Sqannanoa River to flood?Hurricane Ivan,Hurricane Hattie,1.7
What Category 5 hurricane cause the Sqannanoa River to flood?Hurricane Ivan,Swannanoa River,1.19
What Category 5 hurricane cause the Sqannanoa River to flood?Hurricane Ivan,1932 Bahamas hurricane,1.59
Navarone Garibaldi is the half-brother of a singer who has been married how many times?four,Navarone Garibaldi,1.49
Navarone Garibaldi is the half-brother of a singer who has been married how many times?four,Finnish gunboat Hämeenmaa,0.17
Navarone Garibaldi is the half-brother of a singer who has been married how many times?four,Crosswind kite power,0.3
Navarone Garibaldi is the half-brother of a singer who has been married how many times?four,Inverse gambler's fallacy,0.39
Navarone Garibaldi is the half-brother of a singer who has been married how many times?four,Lisa Marie Presley,0.82
Navarone Garibaldi is the half-brother of a singer who has been married how many times?four,Nick Christie,0.26
Navarone Garibaldi is the half-brother of a singer who has been married how many times?four,How Many Times Can We Say Goodbye,0.33
Navarone Garibaldi is the half-brother of a singer who has been married how many times?four,Xavier Ortiz,1.41
Navarone Garibaldi is the half-brother of a singer who has been married how many times?four,Marco Garibaldi,1.65
Navarone Garibaldi is the half-brother of a singer who has been married how many times?four,Rook and bishop versus rook endgame,0.34
What was The original name of the Football club Samuel Johnson moved to in 1901? the club was founded as Newton Heath LYR,Coast Stars F.C.,0.88
What was The original name of the Football club Samuel Johnson moved to in 1901? the club was founded as Newton Heath LYR,Manchester United F.C.,1.84
What was The original name of the Football club Samuel Johnson moved to in 1901? the club was founded as Newton Heath LYR,"Paul Johnson (Australian footballer, born 1984)",0.45
What was The original name of the Football club Samuel Johnson moved to in 1901? the club was founded as Newton Heath LYR,Darlington F.C. league record by opponent,1.01
What was The original name of the Football club Samuel Johnson moved to in 1901? the club was founded as Newton Heath LYR,Robert Levet,0.58
What was The original name of the Football club Samuel Johnson moved to in 1901? the club was founded as Newton Heath LYR,Bennet Langton,0.66
What was The original name of the Football club Samuel Johnson moved to in 1901? the club was founded as Newton Heath LYR,Samuel Johnson (English footballer),1.05
What was The original name of the Football club Samuel Johnson moved to in 1901? the club was founded as Newton Heath LYR,Ken &quot;Pinto Ron&quot; Johnson,0.2
What was The original name of the Football club Samuel Johnson moved to in 1901? the club was founded as Newton Heath LYR,Samuel Poe,0.33
What was The original name of the Football club Samuel Johnson moved to in 1901? the club was founded as Newton Heath LYR,John Hawkins (author),0.69
Both the Drever and Finnish Hound are two dog breeds that are bred for what purpose?bred for hunting,Finnish Hound,3.03
Both the Drever and Finnish Hound are two dog breeds that are bred for what purpose?bred for hunting,Breed group (dog),1.78
Both the Drever and Finnish Hound are two dog breeds that are bred for what purpose?bred for hunting,Vulnerable Native Breeds,1.57
Both the Drever and Finnish Hound are two dog breeds that are bred for what purpose?bred for hunting,English Sheepdog,1.65
Both the Drever and Finnish Hound are two dog breeds that are bred for what purpose?bred for hunting,Boxer (dog),1.24
Both the Drever and Finnish Hound are two dog breeds that are bred for what purpose?bred for hunting,Boerboel,1.92
Both the Drever and Finnish Hound are two dog breeds that are bred for what purpose?bred for hunting,Tugou,1.13
Both the Drever and Finnish Hound are two dog breeds that are bred for what purpose?bred for hunting,Drever,2.3
Both the Drever and Finnish Hound are two dog breeds that are bred for what purpose?bred for hunting,Halls Heeler,1.13
Both the Drever and Finnish Hound are two dog breeds that are bred for what purpose?bred for hunting,Wolf hunting with dogs,2.02
"Who has won more Grand Slam doubles titles, Elizabeth Smylie or Vasek Pospisil?Elizabeth Smylie",Williams sisters,1.42
"Who has won more Grand Slam doubles titles, Elizabeth Smylie or Vasek Pospisil?Elizabeth Smylie",Helena Suková,1.89
"Who has won more Grand Slam doubles titles, Elizabeth Smylie or Vasek Pospisil?Elizabeth Smylie",Evonne Goolagong career statistics,1.38
"Who has won more Grand Slam doubles titles, Elizabeth Smylie or Vasek Pospisil?Elizabeth Smylie",Vasek Pospisil,1.64
"Who has won more Grand Slam doubles titles, Elizabeth Smylie or Vasek Pospisil?Elizabeth Smylie",Elizabeth Smylie,2.14
"Who has won more Grand Slam doubles titles, Elizabeth Smylie or Vasek Pospisil?Elizabeth Smylie",Judy Tegart-Dalton,2.04
"Who has won more Grand Slam doubles titles, Elizabeth Smylie or Vasek Pospisil?Elizabeth Smylie",Yevgeny Kafelnikov,1.47
"Who has won more Grand Slam doubles titles, Elizabeth Smylie or Vasek Pospisil?Elizabeth Smylie",2017 ABN AMRO World Tennis Tournament – Doubles,1.62
"Who has won more Grand Slam doubles titles, Elizabeth Smylie or Vasek Pospisil?Elizabeth Smylie",Martina Hingis,1.61
"Who has won more Grand Slam doubles titles, Elizabeth Smylie or Vasek Pospisil?Elizabeth Smylie",Pam Teeguarden,1.25
"In the 1990's, who built one of the three mills landmarks in California?Petrie Dierman Kughn in 1994.",Sugar industry of the Philippines,0.49
"In the 1990's, who built one of the three mills landmarks in California?Petrie Dierman Kughn in 1994.",Great Mall of the Bay Area,1.45
