question,passage_title,sia_score
Who plays the primary antagonist in Kenneth Branagh's adaptation of Hamlet?Derek Jacobi,Hamlet (1996 film),1.99
Who plays the primary antagonist in Kenneth Branagh's adaptation of Hamlet?Derek Jacobi,My Week with Marilyn,1.06
Who plays the primary antagonist in Kenneth Branagh's adaptation of Hamlet?Derek Jacobi,Fortunes of War (TV series),1.25
Who plays the primary antagonist in Kenneth Branagh's adaptation of Hamlet?Derek Jacobi,Hamlet on screen,1.95
Who plays the primary antagonist in Kenneth Branagh's adaptation of Hamlet?Derek Jacobi,King Claudius,0.85
Who plays the primary antagonist in Kenneth Branagh's adaptation of Hamlet?Derek Jacobi,Mary Shelley's Frankenstein (film),1.28
Who plays the primary antagonist in Kenneth Branagh's adaptation of Hamlet?Derek Jacobi,Jack Ryan: Shadow Recruit,1.1
"The episode ""Dunces and Dragons,"" also known as ""Lost in Time,"" is the sixth episode of the series that takes place in what fictional underwater city?Bikini Bottom",BioShock 2,0.52
"The episode ""Dunces and Dragons,"" also known as ""Lost in Time,"" is the sixth episode of the series that takes place in what fictional underwater city?Bikini Bottom",SpongeBob SquarePants (season 11),2.04
"The episode ""Dunces and Dragons,"" also known as ""Lost in Time,"" is the sixth episode of the series that takes place in what fictional underwater city?Bikini Bottom",List of SpongeBob SquarePants guest stars,1.22
"The episode ""Dunces and Dragons,"" also known as ""Lost in Time,"" is the sixth episode of the series that takes place in what fictional underwater city?Bikini Bottom",SpongeBob SquarePants (season 6),1.19
"The episode ""Dunces and Dragons,"" also known as ""Lost in Time,"" is the sixth episode of the series that takes place in what fictional underwater city?Bikini Bottom",SpongeBob SquarePants (season 10),1.33
"The episode ""Dunces and Dragons,"" also known as ""Lost in Time,"" is the sixth episode of the series that takes place in what fictional underwater city?Bikini Bottom",SpongeBob SquarePants (season 4),1.22
"The episode ""Dunces and Dragons,"" also known as ""Lost in Time,"" is the sixth episode of the series that takes place in what fictional underwater city?Bikini Bottom",SpongeBob SquarePants,1.39
"The episode ""Dunces and Dragons,"" also known as ""Lost in Time,"" is the sixth episode of the series that takes place in what fictional underwater city?Bikini Bottom",SpongeBob SquarePants (season 5),1.71
"The episode ""Dunces and Dragons,"" also known as ""Lost in Time,"" is the sixth episode of the series that takes place in what fictional underwater city?Bikini Bottom",SpongeBob SquarePants (season 9),1.49
"The episode ""Dunces and Dragons,"" also known as ""Lost in Time,"" is the sixth episode of the series that takes place in what fictional underwater city?Bikini Bottom",Dunces and Dragons,1.46
International University of Management is based in the capital of what?Republic of Namibia,Pragyan International University,1.0
International University of Management is based in the capital of what?Republic of Namibia,1939 International University Games (Vienna),0.35
International University of Management is based in the capital of what?Republic of Namibia,Northwestern International University,0.6
International University of Management is based in the capital of what?Republic of Namibia,Newport International University (Wyoming),1.12
International University of Management is based in the capital of what?Republic of Namibia,Concordia International University Estonia,1.02
International University of Management is based in the capital of what?Republic of Namibia,Windhoek,0.98
International University of Management is based in the capital of what?Republic of Namibia,Florida International University Tianjin Center,0.98
International University of Management is based in the capital of what?Republic of Namibia,Wisconsin International University in Ukraine,1.16
International University of Management is based in the capital of what?Republic of Namibia,Khurasan University,1.0
International University of Management is based in the capital of what?Republic of Namibia,International University of Management,1.83
"Cyperus and Anacampseros, are genus related?yes",Anacampseros,2.14
"Cyperus and Anacampseros, are genus related?yes",Deinosuchus,0.96
"Cyperus and Anacampseros, are genus related?yes",Cyperus elegans,1.69
"Cyperus and Anacampseros, are genus related?yes",Cyperus alternifolius,1.49
"Cyperus and Anacampseros, are genus related?yes",Cyperus giganteus,1.13
"Cyperus and Anacampseros, are genus related?yes",Cyperus tetraphyllus,0.97
"Cyperus and Anacampseros, are genus related?yes",Kyllinga,1.41
"Cyperus and Anacampseros, are genus related?yes",Cyperus,1.89
"Cyperus and Anacampseros, are genus related?yes",Cyperus articulatus,1.13
"Cyperus and Anacampseros, are genus related?yes",Grahamia australiana,1.68
 Which coach of a Pac-12 Conference team was also head coach of the Texas Tech Red Raiders football team?Mike Leach,2012 Texas Tech Red Raiders football team,1.85
 Which coach of a Pac-12 Conference team was also head coach of the Texas Tech Red Raiders football team?Mike Leach,Grady Higginbotham,1.41
 Which coach of a Pac-12 Conference team was also head coach of the Texas Tech Red Raiders football team?Mike Leach,2009 Texas Tech Red Raiders football team,1.99
 Which coach of a Pac-12 Conference team was also head coach of the Texas Tech Red Raiders football team?Mike Leach,Texas Tech Red Raiders football,1.82
 Which coach of a Pac-12 Conference team was also head coach of the Texas Tech Red Raiders football team?Mike Leach,Mike Leach (American football coach),2.03
 Which coach of a Pac-12 Conference team was also head coach of the Texas Tech Red Raiders football team?Mike Leach,2015 Texas Tech Red Raiders football team,1.88
 Which coach of a Pac-12 Conference team was also head coach of the Texas Tech Red Raiders football team?Mike Leach,List of Texas Tech Red Raiders in the NFL Draft,1.59
 Which coach of a Pac-12 Conference team was also head coach of the Texas Tech Red Raiders football team?Mike Leach,2011 Texas Tech Red Raiders football team,1.82
 Which coach of a Pac-12 Conference team was also head coach of the Texas Tech Red Raiders football team?Mike Leach,2012 Washington State Cougars football team,1.74
 Which coach of a Pac-12 Conference team was also head coach of the Texas Tech Red Raiders football team?Mike Leach,Texas A&amp;M–Texas Tech football rivalry,1.42
"Which cathedral was established or dedicated first, Chelmsford Cathedral or Cathedral of St John the Evangelist, Portsmouth?The Cathedral Church of St John the Evangelist",Ellis Gowing,0.9
"Which cathedral was established or dedicated first, Chelmsford Cathedral or Cathedral of St John the Evangelist, Portsmouth?The Cathedral Church of St John the Evangelist","St John's Cathedral, Mthatha",1.65
"Which cathedral was established or dedicated first, Chelmsford Cathedral or Cathedral of St John the Evangelist, Portsmouth?The Cathedral Church of St John the Evangelist",Dick Herrick,0.81
"Which cathedral was established or dedicated first, Chelmsford Cathedral or Cathedral of St John the Evangelist, Portsmouth?The Cathedral Church of St John the Evangelist",St. John's Cathedral (Kuala Lumpur),1.38
"Which cathedral was established or dedicated first, Chelmsford Cathedral or Cathedral of St John the Evangelist, Portsmouth?The Cathedral Church of St John the Evangelist",Michael Yorke,1.23
"Which cathedral was established or dedicated first, Chelmsford Cathedral or Cathedral of St John the Evangelist, Portsmouth?The Cathedral Church of St John the Evangelist","Cathedral of St John the Evangelist, Portsmouth",2.36
"Which cathedral was established or dedicated first, Chelmsford Cathedral or Cathedral of St John the Evangelist, Portsmouth?The Cathedral Church of St John the Evangelist",Godwin Birchenough,0.67
"Which cathedral was established or dedicated first, Chelmsford Cathedral or Cathedral of St John the Evangelist, Portsmouth?The Cathedral Church of St John the Evangelist",Dean of Chelmsford,2.18
"Which cathedral was established or dedicated first, Chelmsford Cathedral or Cathedral of St John the Evangelist, Portsmouth?The Cathedral Church of St John the Evangelist",Norman Crowder,1.1
"Which cathedral was established or dedicated first, Chelmsford Cathedral or Cathedral of St John the Evangelist, Portsmouth?The Cathedral Church of St John the Evangelist",Chelmsford Cathedral,2.8
"Who wrote ""Old Grey Whistle Theft""?Arthur Mathews and Graham Linehan",Bob Harris (radio),1.52
"Who wrote ""Old Grey Whistle Theft""?Arthur Mathews and Graham Linehan","Truly, Madly, Deeply Vale",0.79
"Who wrote ""Old Grey Whistle Theft""?Arthur Mathews and Graham Linehan",Father Ted,1.02
"Who wrote ""Old Grey Whistle Theft""?Arthur Mathews and Graham Linehan",Druid (band),0.93
"Who wrote ""Old Grey Whistle Theft""?Arthur Mathews and Graham Linehan",Yes: Live – 1975 at Q.P.R.,0.84
"Who wrote ""Old Grey Whistle Theft""?Arthur Mathews and Graham Linehan",The Old Grey Whistle Test,1.65
"Who wrote ""Old Grey Whistle Theft""?Arthur Mathews and Graham Linehan",Dreamer Deceiver,0.74
"Who wrote ""Old Grey Whistle Theft""?Arthur Mathews and Graham Linehan",It's Alive 1974–1996,0.68
"Who wrote ""Old Grey Whistle Theft""?Arthur Mathews and Graham Linehan",Old Grey Whistle Theft,2.27
"Who wrote ""Old Grey Whistle Theft""?Arthur Mathews and Graham Linehan",Roll (Anne McCue album),0.91
"Which town was the director of the ""Red Curtain Trilogy"" born in?Herons Creek",Red Curtain Trilogy,2.67
"Which town was the director of the ""Red Curtain Trilogy"" born in?Herons Creek",Baz Luhrmann,1.05
"Which town was the director of the ""Red Curtain Trilogy"" born in?Herons Creek",Michael O'Hare (chef),0.75
"Which town was the director of the ""Red Curtain Trilogy"" born in?Herons Creek","Baby, Baby, Baby (Teresa Brewer song)",0.57
"Which town was the director of the ""Red Curtain Trilogy"" born in?Herons Creek",Insomnia (band),0.69
"Which town was the director of the ""Red Curtain Trilogy"" born in?Herons Creek",Strictly Ballroom,1.28
"Which town was the director of the ""Red Curtain Trilogy"" born in?Herons Creek",Miss Utah Teen USA,0.88
"Which town was the director of the ""Red Curtain Trilogy"" born in?Herons Creek",Nina Ananiashvili,0.62
"Which town was the director of the ""Red Curtain Trilogy"" born in?Herons Creek",Kambuzia Partovi,0.8
"Which town was the director of the ""Red Curtain Trilogy"" born in?Herons Creek","Herons Creek, New South Wales",1.08
What trade agreement was ushered into Canada after the 1984 election by the new Prime Minister?Canada-U.S. Free Trade Agreement,Edmund Sim,1.05
What trade agreement was ushered into Canada after the 1984 election by the new Prime Minister?Canada-U.S. Free Trade Agreement,Canada–Panama Free Trade Agreement,1.39
What trade agreement was ushered into Canada after the 1984 election by the new Prime Minister?Canada-U.S. Free Trade Agreement,Swedish governmental line of succession,0.72
What trade agreement was ushered into Canada after the 1984 election by the new Prime Minister?Canada-U.S. Free Trade Agreement,Canada–South Korea Free Trade Agreement,2.06
What trade agreement was ushered into Canada after the 1984 election by the new Prime Minister?Canada-U.S. Free Trade Agreement,"Canadian federal election, 1984",1.35
What trade agreement was ushered into Canada after the 1984 election by the new Prime Minister?Canada-U.S. Free Trade Agreement,2007 Guinean general strike,0.65
What trade agreement was ushered into Canada after the 1984 election by the new Prime Minister?Canada-U.S. Free Trade Agreement,Canada–Costa Rica Free Trade Agreement,0.68
What trade agreement was ushered into Canada after the 1984 election by the new Prime Minister?Canada-U.S. Free Trade Agreement,Canada–Chile Free Trade Agreement,1.4
What trade agreement was ushered into Canada after the 1984 election by the new Prime Minister?Canada-U.S. Free Trade Agreement,Brian Mulroney,1.65
The Circus Burned Down and the Clowns Have Gone starred what Russian actor who won the State Prize of the Russian Federation in 2003?Nikolai Karachentsov,Viktor Bychkov,1.16
The Circus Burned Down and the Clowns Have Gone starred what Russian actor who won the State Prize of the Russian Federation in 2003?Nikolai Karachentsov,Maksim Sukhanov,1.05
The Circus Burned Down and the Clowns Have Gone starred what Russian actor who won the State Prize of the Russian Federation in 2003?Nikolai Karachentsov,Rodion Shchedrin,0.72
The Circus Burned Down and the Clowns Have Gone starred what Russian actor who won the State Prize of the Russian Federation in 2003?Nikolai Karachentsov,Nikolai Karachentsov,1.92
The Circus Burned Down and the Clowns Have Gone starred what Russian actor who won the State Prize of the Russian Federation in 2003?Nikolai Karachentsov,Leonid Filatov,1.27
The Circus Burned Down and the Clowns Have Gone starred what Russian actor who won the State Prize of the Russian Federation in 2003?Nikolai Karachentsov,State Prize of the Russian Federation,0.9
The Circus Burned Down and the Clowns Have Gone starred what Russian actor who won the State Prize of the Russian Federation in 2003?Nikolai Karachentsov,Yevgeny Mironov (actor),1.19
The Circus Burned Down and the Clowns Have Gone starred what Russian actor who won the State Prize of the Russian Federation in 2003?Nikolai Karachentsov,USSR State Prize,1.11
The Circus Burned Down and the Clowns Have Gone starred what Russian actor who won the State Prize of the Russian Federation in 2003?Nikolai Karachentsov,Mikhail Golant,0.74
The Circus Burned Down and the Clowns Have Gone starred what Russian actor who won the State Prize of the Russian Federation in 2003?Nikolai Karachentsov,"The Circus Burned Down, and the Clowns Have Gone",1.56
What event held by the Ultimate Fighting Championship was the largest regulated professional MMA event?UFC 129,UFC 134,2.52
What event held by the Ultimate Fighting Championship was the largest regulated professional MMA event?UFC 129,UFC 3,1.62
What event held by the Ultimate Fighting Championship was the largest regulated professional MMA event?UFC 129,Michael Johnson (fighter),1.49
What event held by the Ultimate Fighting Championship was the largest regulated professional MMA event?UFC 129,UFC 2,1.68
What event held by the Ultimate Fighting Championship was the largest regulated professional MMA event?UFC 129,Ray Borg,1.34
What event held by the Ultimate Fighting Championship was the largest regulated professional MMA event?UFC 129,Mixed martial arts in Ontario,2.29
What event held by the Ultimate Fighting Championship was the largest regulated professional MMA event?UFC 129,The Alliance (MMA),1.9
What event held by the Ultimate Fighting Championship was the largest regulated professional MMA event?UFC 129,Mizuto Hirota,1.27
What event held by the Ultimate Fighting Championship was the largest regulated professional MMA event?UFC 129,UFC 129,2.68
What event held by the Ultimate Fighting Championship was the largest regulated professional MMA event?UFC 129,Marcin Held,1.34
"Which of the film played at 58th Berlin International Film Festival starred Jack Black, Mos Def, Melonie Diaz, Danny Glover, Mia Farrow and Sigourney Weaver?Be Kind Rewind",Norbert Kückelmann,0.95
"Which of the film played at 58th Berlin International Film Festival starred Jack Black, Mos Def, Melonie Diaz, Danny Glover, Mia Farrow and Sigourney Weaver?Be Kind Rewind",Peter Lilienthal,1.18
"Which of the film played at 58th Berlin International Film Festival starred Jack Black, Mos Def, Melonie Diaz, Danny Glover, Mia Farrow and Sigourney Weaver?Be Kind Rewind",Be Kind Rewind,1.86
"Which of the film played at 58th Berlin International Film Festival starred Jack Black, Mos Def, Melonie Diaz, Danny Glover, Mia Farrow and Sigourney Weaver?Be Kind Rewind",Maurice Dugowson,1.12
"Which of the film played at 58th Berlin International Film Festival starred Jack Black, Mos Def, Melonie Diaz, Danny Glover, Mia Farrow and Sigourney Weaver?Be Kind Rewind",Heiner Carow,1.24
"Which of the film played at 58th Berlin International Film Festival starred Jack Black, Mos Def, Melonie Diaz, Danny Glover, Mia Farrow and Sigourney Weaver?Be Kind Rewind",Roland Gräf,1.17
"Which of the film played at 58th Berlin International Film Festival starred Jack Black, Mos Def, Melonie Diaz, Danny Glover, Mia Farrow and Sigourney Weaver?Be Kind Rewind",58th Berlin International Film Festival,1.74
"Which of the film played at 58th Berlin International Film Festival starred Jack Black, Mos Def, Melonie Diaz, Danny Glover, Mia Farrow and Sigourney Weaver?Be Kind Rewind",Randa Haines,1.09
"Which of the film played at 58th Berlin International Film Festival starred Jack Black, Mos Def, Melonie Diaz, Danny Glover, Mia Farrow and Sigourney Weaver?Be Kind Rewind",Lav Diaz,0.92
"Which of the film played at 58th Berlin International Film Festival starred Jack Black, Mos Def, Melonie Diaz, Danny Glover, Mia Farrow and Sigourney Weaver?Be Kind Rewind",Manuel Gutiérrez Aragón,1.1
Were Mark Krein and Lev Pontryagin from the same country?yes,Thom space,1.71
Were Mark Krein and Lev Pontryagin from the same country?yes,Hamiltonian (control theory),1.52
Were Mark Krein and Lev Pontryagin from the same country?yes,Lev Pontryagin,1.01
Were Mark Krein and Lev Pontryagin from the same country?yes,Tannaka–Krein duality,1.54
Were Mark Krein and Lev Pontryagin from the same country?yes,Alexander duality,1.17
Were Mark Krein and Lev Pontryagin from the same country?yes,Pontryagin class,1.55
Were Mark Krein and Lev Pontryagin from the same country?yes,Markov–Krein theorem,1.47
Were Mark Krein and Lev Pontryagin from the same country?yes,Pontryagin's maximum principle,1.34
Were Mark Krein and Lev Pontryagin from the same country?yes,Andronov–Pontryagin criterion,1.74
Were Mark Krein and Lev Pontryagin from the same country?yes,Mark Krein,1.14
 Filament and New York Woman are both what?magazine,Filament (magazine),1.54
 Filament and New York Woman are both what?magazine,The Gorge (album),0.44
 Filament and New York Woman are both what?magazine,New York State Veterans' Home at Oxford,0.38
 Filament and New York Woman are both what?magazine,Rhoda Fox Graves,0.74
 Filament and New York Woman are both what?magazine,New York Woman,1.07
 Filament and New York Woman are both what?magazine,Lucile Saunders McDonald,0.75
 Filament and New York Woman are both what?magazine,On My Way (B.J. Thomas album),0.48
 Filament and New York Woman are both what?magazine,William Gilman Thompson,0.5
 Filament and New York Woman are both what?magazine,Brigitte Harris case,0.57
 Filament and New York Woman are both what?magazine,Bryce Dessner,0.38
"Mormon Tabernacle Choir & Friends had this artist also star in the television show ""Crazy Ex-Girlfriend""?Santino Fontana",List of Mormon Tabernacle Choir music directors,1.5
"Mormon Tabernacle Choir & Friends had this artist also star in the television show ""Crazy Ex-Girlfriend""?Santino Fontana",Robert Sands (conductor),1.68
"Mormon Tabernacle Choir & Friends had this artist also star in the television show ""Crazy Ex-Girlfriend""?Santino Fontana",Robert M. Cundick,1.47
"Mormon Tabernacle Choir & Friends had this artist also star in the television show ""Crazy Ex-Girlfriend""?Santino Fontana",Santino Fontana,2.01
"Mormon Tabernacle Choir & Friends had this artist also star in the television show ""Crazy Ex-Girlfriend""?Santino Fontana",Mormon Tabernacle Choir &amp; Friends,1.58
"Mormon Tabernacle Choir & Friends had this artist also star in the television show ""Crazy Ex-Girlfriend""?Santino Fontana",Jerold Ottley,1.45
"Mormon Tabernacle Choir & Friends had this artist also star in the television show ""Crazy Ex-Girlfriend""?Santino Fontana",This Is the Christ,1.89
"Mormon Tabernacle Choir & Friends had this artist also star in the television show ""Crazy Ex-Girlfriend""?Santino Fontana",Men of the Mormon Tabernacle Choir,1.79
"Mormon Tabernacle Choir & Friends had this artist also star in the television show ""Crazy Ex-Girlfriend""?Santino Fontana",List of Mormon Tabernacle Choir organists,1.58
"Mormon Tabernacle Choir & Friends had this artist also star in the television show ""Crazy Ex-Girlfriend""?Santino Fontana",Old Salt Lake Tabernacle,1.03
"Where does the American singer-songwriter, Vic Chessnutt, who features on an album of covers of Gram Parsons' songs, hail from?Athens, Georgia",Hickory Wind,1.15
"Where does the American singer-songwriter, Vic Chessnutt, who features on an album of covers of Gram Parsons' songs, hail from?Athens, Georgia",Spyboy (album),1.02
"Where does the American singer-songwriter, Vic Chessnutt, who features on an album of covers of Gram Parsons' songs, hail from?Athens, Georgia",Conmemorativo: A Tribute to Gram Parsons,1.59
"Where does the American singer-songwriter, Vic Chessnutt, who features on an album of covers of Gram Parsons' songs, hail from?Athens, Georgia",Vic Chesnutt,1.68
"Where does the American singer-songwriter, Vic Chessnutt, who features on an album of covers of Gram Parsons' songs, hail from?Athens, Georgia",Sleepless Nights (Gram Parsons album),1.45
"Where does the American singer-songwriter, Vic Chessnutt, who features on an album of covers of Gram Parsons' songs, hail from?Athens, Georgia",Sweetheart of the Rodeo,1.14
"Where does the American singer-songwriter, Vic Chessnutt, who features on an album of covers of Gram Parsons' songs, hail from?Athens, Georgia",Crazy Eyes,1.14
"Where does the American singer-songwriter, Vic Chessnutt, who features on an album of covers of Gram Parsons' songs, hail from?Athens, Georgia",GP (album),1.27
"Where does the American singer-songwriter, Vic Chessnutt, who features on an album of covers of Gram Parsons' songs, hail from?Athens, Georgia",Boulder to Birmingham,1.08
"Where does the American singer-songwriter, Vic Chessnutt, who features on an album of covers of Gram Parsons' songs, hail from?Athens, Georgia",Safe at Home,1.36
"""I'm in Disgrace"" is the opening track on the second side of which English rock band formed in Muswell Hill, North London,1975 concept album, ""Schoolboys in Disgrace""?The Kinks",Muswell Hillbillies,2.05
"""I'm in Disgrace"" is the opening track on the second side of which English rock band formed in Muswell Hill, North London,1975 concept album, ""Schoolboys in Disgrace""?The Kinks",Guy Chester Centre,0.94
"""I'm in Disgrace"" is the opening track on the second side of which English rock band formed in Muswell Hill, North London,1975 concept album, ""Schoolboys in Disgrace""?The Kinks",Highgate Wood,0.79
"""I'm in Disgrace"" is the opening track on the second side of which English rock band formed in Muswell Hill, North London,1975 concept album, ""Schoolboys in Disgrace""?The Kinks",Muswell Hill railway station,1.14
"""I'm in Disgrace"" is the opening track on the second side of which English rock band formed in Muswell Hill, North London,1975 concept album, ""Schoolboys in Disgrace""?The Kinks",No More Looking Back,2.46
"""I'm in Disgrace"" is the opening track on the second side of which English rock band formed in Muswell Hill, North London,1975 concept album, ""Schoolboys in Disgrace""?The Kinks",I'm in Disgrace,2.5
"""I'm in Disgrace"" is the opening track on the second side of which English rock band formed in Muswell Hill, North London,1975 concept album, ""Schoolboys in Disgrace""?The Kinks",Cranley Gardens railway station,0.93
"""I'm in Disgrace"" is the opening track on the second side of which English rock band formed in Muswell Hill, North London,1975 concept album, ""Schoolboys in Disgrace""?The Kinks",A Railway Collision,0.27
"""I'm in Disgrace"" is the opening track on the second side of which English rock band formed in Muswell Hill, North London,1975 concept album, ""Schoolboys in Disgrace""?The Kinks",Muswell Hill,1.12
"""I'm in Disgrace"" is the opening track on the second side of which English rock band formed in Muswell Hill, North London,1975 concept album, ""Schoolboys in Disgrace""?The Kinks",The Kinks,1.22
Cross country running is a sport in which teams and individuals run a race on open-air courses over natural terrain such as?dirt or grass,English Cross Country Association,1.78
Cross country running is a sport in which teams and individuals run a race on open-air courses over natural terrain such as?dirt or grass,Cross country running,2.52
Cross country running is a sport in which teams and individuals run a race on open-air courses over natural terrain such as?dirt or grass,1975 NCAA Division I Cross Country Championships,1.04
Cross country running is a sport in which teams and individuals run a race on open-air courses over natural terrain such as?dirt or grass,Florida Gators cross country,1.7
Cross country running is a sport in which teams and individuals run a race on open-air courses over natural terrain such as?dirt or grass,Florida State Seminoles cross country,1.7
Cross country running is a sport in which teams and individuals run a race on open-air courses over natural terrain such as?dirt or grass,Trail running,1.86
Cross country running is a sport in which teams and individuals run a race on open-air courses over natural terrain such as?dirt or grass,Foot Locker Cross Country Championships,1.6
Cross country running is a sport in which teams and individuals run a race on open-air courses over natural terrain such as?dirt or grass,Obstacle racing,1.42
Cross country running is a sport in which teams and individuals run a race on open-air courses over natural terrain such as?dirt or grass,Sara McGreavy,0.71
Cross country running is a sport in which teams and individuals run a race on open-air courses over natural terrain such as?dirt or grass,Great Edinburgh International Cross Country,1.58
Are Lucie Šafářová and Pavel Složil both Czech tennis players?yes,Adam Pavlásek,1.11
Are Lucie Šafářová and Pavel Složil both Czech tennis players?yes,2017 US Open – Women's Doubles,1.94
Are Lucie Šafářová and Pavel Složil both Czech tennis players?yes,Lucie Šafářová,1.55
Are Lucie Šafářová and Pavel Složil both Czech tennis players?yes,2015 Apia International Sydney – Women's Doubles,1.36
Are Lucie Šafářová and Pavel Složil both Czech tennis players?yes,2014 Family Circle Cup – Doubles,1.62
Are Lucie Šafářová and Pavel Složil both Czech tennis players?yes,2016 Australian Open – Women's Doubles,1.54
Are Lucie Šafářová and Pavel Složil both Czech tennis players?yes,Lucie Šafářová career statistics,1.93
Are Lucie Šafářová and Pavel Složil both Czech tennis players?yes,2016 Rogers Cup – Women's Doubles,1.59
Are Lucie Šafářová and Pavel Složil both Czech tennis players?yes,Pavel Složil,2.37
Are Lucie Šafářová and Pavel Složil both Czech tennis players?yes,2016 Porsche Tennis Grand Prix – Doubles,1.39
What ranking is based on team performance over 4 years and of which one Australia team is ranked 25th?IIHF World Ranking,The Tech Report,0.43
What ranking is based on team performance over 4 years and of which one Australia team is ranked 25th?IIHF World Ranking,Richmond Hill High School (Ontario),0.5
What ranking is based on team performance over 4 years and of which one Australia team is ranked 25th?IIHF World Ranking,Team composition,1.1
What ranking is based on team performance over 4 years and of which one Australia team is ranked 25th?IIHF World Ranking,Australia women's national ice hockey team,1.63
What ranking is based on team performance over 4 years and of which one Australia team is ranked 25th?IIHF World Ranking,IIHF World Ranking,2.25
What ranking is based on team performance over 4 years and of which one Australia team is ranked 25th?IIHF World Ranking,Root After and Another,0.36
What ranking is based on team performance over 4 years and of which one Australia team is ranked 25th?IIHF World Ranking,New Zealand women's national ice hockey team,1.16
What ranking is based on team performance over 4 years and of which one Australia team is ranked 25th?IIHF World Ranking,2015–16 Chattanooga Mocs women's basketball team,0.79
What ranking is based on team performance over 4 years and of which one Australia team is ranked 25th?IIHF World Ranking,McMaster Faculty of Health Sciences,0.42
What ranking is based on team performance over 4 years and of which one Australia team is ranked 25th?IIHF World Ranking,Angela Ahrendts,0.35
"Who created the character in ""The Closer"" in which the actor also played in the movie ""Mannequin""?James Duff",Catsmeat Potter-Pirbright,0.77
"Who created the character in ""The Closer"" in which the actor also played in the movie ""Mannequin""?James Duff",G. W. Bailey,1.63
"Who created the character in ""The Closer"" in which the actor also played in the movie ""Mannequin""?James Duff",Meshach Taylor,1.33
"Who created the character in ""The Closer"" in which the actor also played in the movie ""Mannequin""?James Duff",Louie Provenza,1.36
"Who created the character in ""The Closer"" in which the actor also played in the movie ""Mannequin""?James Duff",Phaansi,0.7
"Who created the character in ""The Closer"" in which the actor also played in the movie ""Mannequin""?James Duff",Damon Dark,0.96
"Who created the character in ""The Closer"" in which the actor also played in the movie ""Mannequin""?James Duff",Mark Arnold (actor),1.12
"Who created the character in ""The Closer"" in which the actor also played in the movie ""Mannequin""?James Duff",New Jersey Music Hall of Fame,0.5
"Who created the character in ""The Closer"" in which the actor also played in the movie ""Mannequin""?James Duff",John Keefe (actor),1.09
"Who created the character in ""The Closer"" in which the actor also played in the movie ""Mannequin""?James Duff",Courtney B. Vance,1.23
Eileen Elizabeth Sheridan was known for her association with a firm headed by  English gangsters who were the foremost perpetrators of what in the East End of London?organised crime,Get Me a Lawyer,0.32
Eileen Elizabeth Sheridan was known for her association with a firm headed by  English gangsters who were the foremost perpetrators of what in the East End of London?organised crime,Call the Midwife (book),0.59
Eileen Elizabeth Sheridan was known for her association with a firm headed by  English gangsters who were the foremost perpetrators of what in the East End of London?organised crime,East End Film Festival,0.42
Eileen Elizabeth Sheridan was known for her association with a firm headed by  English gangsters who were the foremost perpetrators of what in the East End of London?organised crime,Multicultural London English,0.76
Eileen Elizabeth Sheridan was known for her association with a firm headed by  English gangsters who were the foremost perpetrators of what in the East End of London?organised crime,Phil Pickett,0.61
Eileen Elizabeth Sheridan was known for her association with a firm headed by  English gangsters who were the foremost perpetrators of what in the East End of London?organised crime,Sheridan School District (Arkansas),0.26
Eileen Elizabeth Sheridan was known for her association with a firm headed by  English gangsters who were the foremost perpetrators of what in the East End of London?organised crime,Billy Hill (gangster),1.23
Eileen Elizabeth Sheridan was known for her association with a firm headed by  English gangsters who were the foremost perpetrators of what in the East End of London?organised crime,Kray twins,1.7
Eileen Elizabeth Sheridan was known for her association with a firm headed by  English gangsters who were the foremost perpetrators of what in the East End of London?organised crime,Eileen Sheridan (model),1.52
Eileen Elizabeth Sheridan was known for her association with a firm headed by  English gangsters who were the foremost perpetrators of what in the East End of London?organised crime,East End of London,1.03
"What is the name of the film director who directed a famous movie trilogy highlighting the classic film ""Viridiana"", that starred one of the actors in the Mexican comedy film ""My Three Merry Widows""?Luis Buñuel",Saving Private Perez,0.67
"What is the name of the film director who directed a famous movie trilogy highlighting the classic film ""Viridiana"", that starred one of the actors in the Mexican comedy film ""My Three Merry Widows""?Luis Buñuel",Los Cuervos están de luto,1.36
"What is the name of the film director who directed a famous movie trilogy highlighting the classic film ""Viridiana"", that starred one of the actors in the Mexican comedy film ""My Three Merry Widows""?Luis Buñuel",Hami Tin Bhai,1.08
"What is the name of the film director who directed a famous movie trilogy highlighting the classic film ""Viridiana"", that starred one of the actors in the Mexican comedy film ""My Three Merry Widows""?Luis Buñuel",My Three Merry Widows,2.06
"What is the name of the film director who directed a famous movie trilogy highlighting the classic film ""Viridiana"", that starred one of the actors in the Mexican comedy film ""My Three Merry Widows""?Luis Buñuel",Road Movie trilogy,1.1
"What is the name of the film director who directed a famous movie trilogy highlighting the classic film ""Viridiana"", that starred one of the actors in the Mexican comedy film ""My Three Merry Widows""?Luis Buñuel",Here's the Point,1.27
"What is the name of the film director who directed a famous movie trilogy highlighting the classic film ""Viridiana"", that starred one of the actors in the Mexican comedy film ""My Three Merry Widows""?Luis Buñuel",Las tres viudas de papá,1.84
"What is the name of the film director who directed a famous movie trilogy highlighting the classic film ""Viridiana"", that starred one of the actors in the Mexican comedy film ""My Three Merry Widows""?Luis Buñuel",The Viscount of Monte Cristo,1.37
