question,sentence,sia_score
What can cause people to become distracted?,using iPhones can cause people to become distracted,4.0
What do digestive enzymes make easier to chew?,Food is easier to chew due to digestive enzymes,4.0
Earth 's tilt on its rotating axis causes fall to change to what?,Earth 's tilt on its rotating axis causes fall to change to winter,4.0
When do platyhelminthes reproductive organs develop?,Adult platyhelminthes go through a major transformation to develop reproductive organs.,4.0
What can be inherited?,some diseases can be inherited,4.0
What is the key to newborn survival?,Insulated material is the key to newborn survival.,4.0
Evolution is a change in the genetic traits of living things over what?,Evolution is a change in the genetic traits of living things over time.,4.0
What are formed by erosion?,erosion forms canyons,4.0
A tape measure is used to see how what something is?,A tape measure is used to see how long something is,4.0
What sheds its leaves seasonally each year?,ginkgo biloba sheds its leaves seasonally each year,4.0
Absorption of minerals occurs mainly where?,Absorption of minerals occurs mainly in the small intestine.,4.0
What turns a liquid into a solid?,"The more heat energy gets released, the faster liquid turns freezes into a solid.",4.0
A drought dehydrates an entire what?,A drought can dehydrate an entire environment.,4.0
How do hormones maintain balance,Hormones maintain balance with feedback loops,4.0
Epiphytes can eventually lead to the production of what?,Epiphytes can eventually lead to the production of paper,4.0
What does the animal that burrows to help aerate soil have?,The burrows of something with five hearts help aerate soil,4.0
uneven heating of the Earth 's surface causes what?,uneven heating of the Earth 's surface causes destruction,4.0
a surface that is not what is likely to be covered with something that eats and digests foods?,a surface not sterilized is likely to be covered with something that eats and digests foods,4.0
What does friction cause a mass to lose?,A mass loses energy when there is friction,4.0
the Himalayas were formed from older what,the Himalayas were formed from older rock,4.0
What does fuel convert into?,Fuel converts into light and heat,4.0
What does current follow?,current follows a circuit,4.0
the maglev train is used for moving what,the maglev train is used for moving people,4.0
What do plants require for their survival?,plants require hydrogen for their survival,4.0
A type of resting cell from what type of organism is often found in soil and water?,Bacterial resting cells are often found in soil and water.,4.0
What is used to produce electricity by burning?,hemp is used to produce electricity by burning,4.0
electrical energy is transmitted into what for sound?,electrical energy turns into vibrations,4.0
What does the green matter on plants do?,The green coloring of leaves is used to absorb light,4.0
An example of protozoa that make humans sick is,Malaria is a protozoa that make humans sick,4.0
A circle graph can be used to display,a circle graph can be used to display Fractions,4.0
what affects a gas?,temperature affects gas,4.0
what does sperm have to swim from male to female reproductive organs for?,sperm had to swim from male to female reproductive organs for pregnancy,4.0
What does plant and animal residue increase in soil?,Plant and animal residue increases the amount of nutrients in the soil,4.0
Why do the flightless have feathers?,Feathers provide insulation for the flightless.,4.0
Butter is what type of  fat?,Butter is a saturated fat,4.0
how do abalones reproduce?,abalone reproduce sexually,4.0
What can cause flooding?,hurricanes can cause flooding,4.0
Soil nutrition can be what?,soil nutrition can be extracted,4.0
what do ribosomes contain?,ribosomes contain RNA,4.0
What can car crashes do to passengers?,car crashes can injure passengers,4.0
Decomposition increases amount of _ in soil,decomposition increases amount of acid. in soil,4.0
What do rivers do to rocks?,Rivers turn rocks into soil,4.0
How does ground erosion impact the environment?,ground erosion causes damage to the environment,4.0
what are used for curing people when they are sick?,herbs are used for curing people when they are sick,4.0
What is soil made from?,Most soil is made from rocks breaking down,4.0
Many consumers feed at more than one what?,Many consumers feed at more than one nutrient level,4.0
the ability to maintain equilibrium is the ability to sense and maintain what?,the ability to maintain equilibrium is the ability to sense and maintain body position,4.0
What can snapping a rubber band cause?,snapping a rubber band can cause noise,4.0
Constricting raises what,Constriction raises systolic blood pressure,4.0
what does rock erosion cause them to do?,rocks eroding causes them to breakdown,4.0
What does the earth being tilted on a rotating axis cause?,earth being tilted on a rotating axis cause temperature changes,4.0
leaves turn brown in which season?,leaves turn brown during the cold,4.0
What do some light bulbs convert other energy into?,some light bulbs convert other energy into light and heat energy,4.0
what uses their sense of smell to find a mate?,a type of amphibian uses their sense of smell to find a mate,4.0
bacteria are more active at what,bacteria are more active at high temperatures,4.0
Neurotransmitters and hormones are what in their function?,Hormones and neurotransmitters behave in common ways.,4.0
Light is what inside of water droplets?,Light is bent inside of water droplets.,4.0
What keeps a fire burning?,fanning a fire keeps the fire burning,4.0
What may improve health?,Sleep is good for human health.,4.0
What's important to know about a patient prior to surgery?,Blood type is important to know prior to surgery.,4.0
what type of location can water be conserved to help survival?,conserving water can be used for survival in arid locales,4.0
What does a tropical cyclone convert heat energy into?,A tropical cyclone can convert heat energy into mechanical energy.,4.0
what does meiosis produce?,meiosis produces ova and spermatozoa,4.0
What happens as cells lose their ability to divide?,Getting old occurs as cells lose their ability to divide.,4.0
Scientists study animal behavior through which of the following?,Scientists who study how animals behave use videotape or audio tape.,4.0
What removes waste from blood?,excretion removes waste from blood,4.0
What has been lost that created a hole over the south pole?,Loss of ozone has created a hole over the south pole,4.0
what causes food to taste sweet?,honey causes food to taste sweet,4.0
What can be essential for fruit production?,nectar can be essential for fruit production.,4.0
communities consist of populations of what kind of things that can split into two?,communities consist of populations of different things that can split into two,4.0
What don't arthropods have?,Arthropods are animals without a backbone.,4.0
What has a negative impact on the body?,disease-causing organisms have a negative impact on the body,4.0
Bees are attracted to?,Flowers attract bees.,4.0
All species move to find shelter in another what,All species move to find shelter in another habitat,4.0
what produces spores that develop into gametophytes?,roses produce spores that develop into gametophytes,4.0
Severe droughts may cause,Severe droughts may cause a bottleneck effect,4.0
behaviors increase through what that improve traits of animal's ability to survive,behaviors that improve traits that relate to an animal's ability to survive and reproduce increases through natural selection,4.0
Where are the structures where proteins are made located on?,structures where proteins are made are located on rough endoplasmic reticulum,4.0
"If a shelter can't support animals, what will the animals do?","If a shelter can't support animals, then the animals move.",4.0
TRH stimulates what?,TRH stimulates prolactin release,4.0
What after birth may be followed by a period of parental care?,Birth may be followed by a period of parental care of the child.,4.0
Why do flowers attract birds?,Flowers attract birds for pollination,4.0
What grows a cumberbund-like band around itself in adulthood?,Adult worms develop a cumberbund-like band near the head.,4.0
What is used for adjusting to hot temperatures by some animals?,Perspiration is used for adjusting to hot temperatures by some animals,4.0
Plants that cannot exhibit phototropism will what?,Plants that cannot exhibit phototropism will die,4.0
What can heavy rain do?,heavy rain can kill people,4.0
What can cause anaphylaxis?,many antigens cause cause anaphyaxis,4.0
What do animals use ingestion for?,animals use ingestion to survive,4.0
Babies do what most during their rapid growth period?,Babies learn most during their rapid growth period.,4.0
Adult spiny skinned animals found only in marine environments have what?,Adult spiny skinned animals found only in marine environments have radial symmetry,4.0
What are important for medical reasons?,inherited antigens and antibodies are important for medical reasons,4.0
What is a major change that happens in menopause?,"During menopause comes a time of change and development, including when menstruation stops.",4.0
What are the cells of living beings called?,Cells are the microscopic building blocks of living beings,4.0
water stress can be from daily or seasonal what,water stress can be from daily or seasonal cycles,4.0
What is the major thing that biological membranes consist of?,All biological membranes have lipids as the main consituent which consist of fatty acids.,4.0
What can a greenhouse protect by keeping warm?,a greenhouse is used to protect bushes by keeping them warm,4.0
Cells are the basic units of the structure and function of what?,Cells are the basic units of the structure and function of organisms,4.0
What is formed when rocks break down?,Detritus is formed when rocks are broken down.,4.0
How does sweating cool the body?,Sweating cools the body by evaporation.,4.0
What is it called when when gametes unite in fertilization?,syngamy is when Gametes unite in fertilization,4.0
cells of leaves and surface cells of stems contain what pigment chlorophyll?,cells of leaves and surface cells of stems contain the green pigment chlorophyll,4.0
What tool might measure something in meters?,A ruler can be used to measure something in meters.,4.0
what do cycles of freezing and thawing water cause?,cycles of freezing and thawing water causes mechanical weathering,4.0
The mass of an object causes force exerted by the object which can be described as,The mass of an object causes force exerted by the object which can be described as inertial mass,4.0
What can infect bacteria?,influenza can infect bacteria,4.0
What can be used for detecting texture?,pressure on the skin can be used for detecting texture,4.0
Which of the following is sometimes  used to indirectly heat buildings?,Nuclear fission can be used to heat buildings,4.0
What side does rainfall fall?,Rainfall falls on the windward side,4.0
Automobile engines transform chemical energy into what sort of energy for objects?,Automobile engines transform chemical energy into energy of moving objects.,4.0
What part of the body are chemicals dangerous to?,Chemicals are dangerous to the eyes.,4.0
Ice crystals can resist what?,Ice crystals can resist the sun's heat,4.0
What can be produced by capturing water at high tide?,Capturing water at high tide can be used to produce electricity.,4.0
what does a diaphragm aid in?,respiration is aided by a diaphragm,4.0
Some birds are pollinators that co-evolved with what other type of organism?,Some birds are pollinators that co-evolved with producers.,4.0
Moss can cause the breakdown of what?,Moss can cause a chemical breakdown of rocks.,4.0
What will happen when sound passes through a fibrous material?,Sound passing through a fibrous material will slow down,4.0
what is released by energy conversion?,energy conversion releases water,4.0
What do most fish not have to deal with?,most fish do not have to deal with temperature or moisture extremes,4.0
What lives in water that contains little or no salt?,Terrapins live in water that contains little or no salt.,4.0
what layer can heat and pressure be felt from nerves?,nerves can be used to feel heat and pressure on the epidermal layer,4.0
What can living underground keep animals from being?,living underground can keep animals from being killed,4.0
What does a porcupine do with its spines when it's threatened?,A porcupine will extend its spines when threatened,4.0
what are all aquatic?,all jellyfish are aquatic,4.0
Vanes rotating in an electric fan causes air molecules to what?,Vanes rotating in an electric fan causes air molecules to cool.,4.0
Plants release oxygen during the day and alter their position to what?,Plants release oxygen during the day and alter their position to sleep in the evening,4.0
what does the digestive system break food into for the body?,the digestive system breaks food into iron for the body,4.0
What influences the chances of a species surviving?,migration influences the chances of a species surviving.,4.0
Wetlands are extremely important:,Wetlands are extremely important environments.,4.0
what kind of females does fertilization take place in?,fertilization takes place in human females,4.0
What provides protection for soft tissues and internal organs?,reservoirs for calcium provide protection for soft tissues and internal organs,4.0
What do some mollusks live near?,some mollusks live near trout,4.0
What are unicellular?,slime molds are unicellular,4.0
Where do colonies of coral form?,corals form large colonies in warm water,4.0
Friction can cause fires to break out in a home due to what?,Friction causes fires to break out in a home due to temperature.,4.0
What causes objects to heat when absorbed?,absorbing food causes objects to heat,4.0
What can cause metal to become orange on the surface?,Moisture can cause metal to become orange on the surface.,4.0
What does seeing require?,seeing requires pupils,4.0
what do most types of have nervous systems?,most insects have a nervous system,4.0
What is caused by Earth 's tilt on its rotating axis?,Earth 's tilt on its rotating axis causes winter,4.0
what can change the color of an environment from green to brown?,a lack of water can change the color of an environment from green to brown,4.0
Where are salt and freshwater biomes found?,freshwater biomes are found in estuaries,4.0
evolution occurs by a process that results in what?,evolution occurs by a process that results in adaptation,4.0
Most of the universe is composed of what separated from atoms in stars?,most of the universe is composed of electrons separated from atoms in stars,4.0
What reproduces by laying eggs?,platypuses reproduce by laying eggs,4.0
what produces carbon monoxide?,carbon monoxide is produced when heating homes,4.0
The deposition of sediment at the mouth of a river by water fanning out is called by what name?,deposition of sediment at the mouth of a river by water fanning out is called by a Greek letter,4.0
What comes from cows?,cows make nutritious fluid,4.0
what system does HIV attack?,HIV attacks the immune system,4.0
What has a positive effect on an ecosystem?,stopping air pollution has a positive effect on an ecosystem,4.0
What is used to refract light?,glass is used for refracting light,4.0
The Himalayas were formed by what?,The Himalayas were formed by earthquakes,4.0
What has a nervous system?,Jellyfish have a nervous system,4.0
A thermal insulator does what to the convection in fluids?,A thermal insulator slows the convection in fluids.,4.0
What are on the ocean floor?,bacteria are on the ocean floor.,4.0
Destruction of an animal's home causes animals to move to what?,Destruction of an animal's home causes animals to move to find shelter in another home,4.0
What is how plants become specialized during development?,Differentiation is how plants become specialized during development,4.0
What do plants require to grow?,plants require chlorophyll to grow,4.0
What structure moves the genetic material of a cell during cell division?,Microtubules move the genetic material of a cell during cell division.,4.0
Mammals find breath through the action of what thing beneath their lungs?,Mammals breathe with the help of a muscle below the lungs.,4.0
What is formed from layers of sediment covering the remains of organisms over time?,natural gas is formed from layers of sediment covering the remains of organisms over time,4.0
Sharpening an object causes that object to change what?,Sharpening an object causes that object to change form,4.0
A vital role of hormones produced by the pituitary gland,Most pituitary hormones control hormone production elsewhere in the body,4.0
At what trophic level is a plant?,"When consumed, energy is passed up from plants from lower to higher trophic levels.",4.0
What do echinoids lack?,echinoids lack a centralized nervous system,4.0
What might parents pass on to their offspring?,Parents with freckles may have offspring with them as well.,4.0
What can make humans sick?,microorganisms can make humans sick,4.0
what adults are barrel-shaped?,adult sea squirts are barrel-shaped,4.0
"What enters the atmosphere when coal, oil, and natural gas is burned?","Burning coal, oil, and natural gas increases carbon in the atmosphere",4.0
population size influences the chances of what surviving?,population size influences the chances of flowers surviving,4.0
what can be used to show data,percentages can be used to show data,4.0
What can a dam form?,a dam can form a lake,4.0
What happens to cottonwoods when the days get shorter?,Cottonwoods go dormant when the days are shorter,4.0
What causes sunburns?,the sun causes sunburn,4.0
Lack of moisture in the air causes,lack of moisture in the air causes Drought,4.0
How do you reduce pollution?,conserving resources lowers pollution,4.0
What can measure the size of tremors?,a seismograph is used for measuring the size of tremors,4.0
Reusing plastic bags has a positive impact on what?,Reusing plastic bags has a positive impact on the environment,4.0
Organisms that live in the ocean are adapted to,Organisms that live in the ocean must be adapted to the salt water.,4.0
What causes earth quakes?,Compressional forces cause earthquakes.,4.0
what forms large colonies in shallow tropical water?,calcite shells form large colonies in shallow tropical water,4.0
Erosion breaks rocks down from larger parts into what?,Erosion breaks rocks down into soil from larger parts.,4.0
What has a centralized nervous system with a brain?,Trout have a centralized nervous system with a brain.,4.0
Which of the following  has the most antioxidant benefits for the body?,Blueberries can be eaten as a preserved food still with antioxidant benefits,4.0
what causes an object to lose energy,two substances rubbing together causes an object to lose energy,4.0
What can be formed in a mountain?,Boulders are formed in the mountains.,4.0
What reduces the cause of tuberculosis in milk?,Pasteurization reduces the cause of tuberculosis in milk,4.0
What helps plants germinate?,wet weather helps plants germinate,4.0
What are some crabs adapted to?,some crabs are adapted to salt water,4.0
A fiber found only in mammals grows from a bulb under what?,A fiber found only in mammals grows from a bulb under the skin,4.0
What does cocaine make blood vessels do?,cocaine causes blood vessels to contract,4.0
Mitosis begins when what unite in fertilization?,Gametes then unite in fertilization and begin Mitosis,4.0
what can change an ecosystem?,a forest fire can change an ecosystem,4.0
what causes rainbows?,sunlight causes rainbows,4.0
What device is used to give ratings on the Richter scale,The Richter scale uses readings from seismometers,4.0
the Moh's scale of hardness is used by doing what to the materials,the Moh's scale of hardness is used by scratching the materials,4.0
What does the light on the moon come from?,The Earth gets between the sun and moon and creates a shadow.,4.0
what causes sweat to be produced to cool a person down?,sweat is produced to cool people during exercise and fever,4.0
What are the affects of burning fuel on human health?,Furnaces and other devices that burn fuel are health hazards.,4.0
What is used as an energy source by pagers?,electricity is used as an energy source by pagers,4.0
What continues to grow throughout their lives?,Lilies continue to grow throughout their lives.,4.0
What use their eyes to sense light so they can see?,Voles use their eyes to sense light so they can see,4.0
Fat is used to provide warmth and what?,Fat is used to provide warmth and security.,4.0
Some flowers are what?,Some flowers are edible.,4.0
Harming an animal species has a negative impact on what?,harming an animal species has a negative impact on the number of individuals in that species,4.0
a what has the purpose to produce for propagation,a flower 's purpose is to produce for propagation,4.0
Why does life continue?,Life continues because organisms give rise to offspring.,4.0
What have primary and secondary meristems for growth and length and width into the ground?,plants' anchors have primary and secondary meristems for growth and length and width into the ground.,4.0
What is used by organisms to store energy?,organisms use fats to store energy,4.0
What do mammals have under their skin that is used to insulate the body?,mammals have a layer of food under their skin to help insulate the body,4.0
"What parasites kill their human, but some do not?","Deadly parasites kill their human, but some do not",4.0
what causes stars to produce light?,converting mass to energy in stars causes them to produce light,4.0
Wood is what for cooking food,Wood is burned for cooking food,4.0
What can cause new growth and revitalization in a forest?,Lightning can cause new growth and revitalization in a forest.,4.0
Light enters the eye through an opening that is what to light and accommodation?,Light enters the eye through an opening that is reactive to light and accomodation,4.0
What does a stove use fire for?,A stove uses fire for cooking.,4.0
what are the major crop that needs protecting by keeping them warm,Flowers are the major crop that needs protecting by keeping them warm,4.0
An example of an animal that has permeable skin is,frogs have permeable skin,4.0
Which is the most likely cause of throat tumors?,Some viruses result in the formation of malignant tumors.,4.0
What is the microscopic building block of any living being?,Cells are the microscopic building blocks of living beings.,4.0
What genes promote the division of cells with mutation?,Oncogenes promote the division of cells with mutation,4.0
Where do streams often get H20?,Streams often start with runoff or H20 seeping out of a spring.,4.0
Which aspect of a sponge's cells allow it to collect food?,Sponges use specialized cells with flagellum to collect food.,4.0
What is a major route of removing wastes from the body?,Feces are a major route of removing wastes and excess water from the body.,4.0
what do insects have?,insects have a nervous system,4.0
Plants may die without what?,Plants may die if there is no looseness in the soil.,4.0
What is very deadly?,tobacco smoke is very deadly,4.0
Ice wedging causes what to be severely damaged?,Ice wedging causes ice roads to be severely damaged.,4.0
What does ice lose when it is made?,Water becomes ice by losing heat energy,4.0
What is an example of an insulating material that can be worn?,Coats and blankets are insulating materials that humans wear.,4.0
What can be dangerous?,force can be dangerous,4.0
What does heat energy do?,Heat energy makes digestion easier.,4.0
What are most crags formed by?,most crags are formed by melting glaciers,4.0
What decreases visibility while driving?,hail decreases visibility while driving,4.0
what can be changed from smooth to compacted by physical force?,foil can be changed from smooth into compacted by physical force,4.0
Food is used for energy by what part of most organisms?,Food is used for energy by the cells of most organisms,4.0
what can keep you warm?,hair can help keep warm,4.0
What are hooked beaks adapted for?,hooked beaks are adapted for the food they eat,4.0
Eating something that contains what can have a negative impact on an animal's survival?,eating something that contains synthetic chemicals has a negative impact on an organism 's survival,4.0
Lung cancer is most often caused by exposure to,Lung cancer is most often caused by exposure to tar,4.0
Flowing water can slowly dissolve carbon in what?,Flowing water can slowly dissolve carbon in sandstone,4.0
What are single celled organisms that do not have a nucleus?,Bacteria are single celled organisms that do not have a nucleus.,4.0
Cross-pollination increases something required by what?,Cross-pollination increases something required by evolution,4.0
What results when intracellular pathogens evade activation of the cell?,Active immunity results when intracellular pathogens evade activation of the cell.,4.0
what kind of circulatory system do reptiles have?,reptiles have a closed circulatory system,4.0
The mature form of what kind of cell secretes antibodies?,Mature forms of B-lymphocytes secrete antibodies.,4.0
what is an unusual home?,dead snail shells are unusual homes,4.0
Computers run when what is working properly?,"When an electrical circuit is working properly, computers run.",4.0
What is the term for illnesses that result from bacteria in food?,Bacteria cause food poisoning.,4.0
What makes food for themselves and other organisms?,most plants make food for themselves and other organisms,4.0
"Some precipitation that falls on land may soak in, becoming a breeding place for what?","Some precipitation that falls on land may soak in, becoming a breeding place for mosquitoes",4.0
Wiring requires a material such as copper or what?,Wiring requires a material such as copper or gold.,4.0
what enters the eye through the pupil and falls on the retina?,when intermediate length rays enter the eye through the pupil it falls on the retina,4.0
What organ in the body can protect you from toxins?,Skin is used for protecting the body from toxins.,4.0
Organisms that live in marine biomes must be adapted to what?,Organisms that live in marine biomes must be adapted to salinity.,4.0
What raises metabolism?,excess body weight raises metabolism,4.0
"Cells are what, so they are the building blocks of organisms?","Cells are so small, they are the building blocks of organisms.",4.0
what causes food to taste sweet,Molasses causes food to taste sweet,4.0
What absorbs sunlight?,Solar panels absorb sunlight.,4.0
what uses lipids to store energy,humans use lipids to store energy,4.0
what can affect the respiratory system?,mildew can affect the respiratory system,4.0
What has a positive impact on an organism's health?,chemical energy has a positive impact on an organism's health,4.0
Running water is better able to dissolve oxygen and nutrients than what?,Running water is better able to dissolve oxygen and nutrients than stagnant water.,4.0
fertilization takes place inside of what kind of females?,fertilization takes place inside of female humans,4.0
What is used in order for Maglev trains to function?,Maglev trains make use of magnetism to function.,4.0
What conserves body heat with their fur?,Bats conserve body heat with their fur,4.0
What requires hiding and sleeping for survival?,animals require hiding and sleeping for survival,4.0
Where is blood conducting when blood pressure is highest?,Blood pressure is highest where blood is conducted away from the heart,4.0
The interaction between coral and alga is an example of _.,The interaction between coral and alga is an example of mutualism.,4.0
Carpooling does what to the amount of cars and traffic congestion?,Carpooling decreases the amount of cars and traffic congestion.,4.0
What decreases the melting point of water?,Increasing the density of water decreases its melting point.,4.0
what has a negative impact on the respiratory system?,water-damaged carpets have a negative impact on the respiratory system,4.0
What would happen if all geese could not reproduce?,If all geese were suddenly unable to produce offspring then they will become extinct.,4.0
What improves the soil?,decomposition improves the soil,4.0
What is used for protecting plants while killing beneficial pollinators?,Pesticide is used for protecting plants while killing beneficial pollinators.,4.0
what are some sperm?,slow sperm may not swim fast,4.0
what is ozone made of?,ozone is made of oxygen,4.0
Playing is one of many ways animal improve ability to what,Playing is one of many ways animal improve ability to survive and thrive,4.0
mushrooms are nonphotosynthetic and cannot what?,Mushrooms are nonphotosynthetic and cannot make food to grow.,4.0
how do african elephants breathe,african elephants have lungs,4.0
What happens when light and images fall on the retina?,An object is seen because light and images fall on the retina,4.0
"Which type of plants convert from carbon dioxide, water, and solar energy into carbohydrates?","photosynthesis means green plants convert from carbon dioxide, water, and solar energy into carbohydrates for themselves",4.0
Metal can transfer heat to an object to make it what?,Metal can transfer heat to an object to make it hot,4.0
Some touch receptors sense a difference in pain or what?,Some touch receptors sense differences in heat or pain.,4.0
"After someone eats, the food is chemically digested mainly where?",Chemical digestion occurs mainly in the small bowel.,4.0
What can increase the chances of flooding?,Stormy weather increases the chances of flooding,4.0
What is formed by deposition of sediment at the mouth of a water supply fanning out?,a delta is formed by deposition of sediment at the mouth of a water supply fanning out,4.0
The formation of more mitochondia does what?,The formation of more mitochondria increases a body's strength.,4.0
Something with what sticks to the fur of an animal and is transported?,If something with a kernel sticks to the fur of an animal then it will be transported by the animal,4.0
Some what make their own membranes?,Some viruses make their own membranes,4.0
what are on when there is flow of current in an electrical circuit,lights are on when there is flow of current in an electrical circuit,4.0
What will make human temperatures go in a different direction from what sweating would do?,Sweating and shivering have different effects on our core temperatures.,4.0
What are plants and animals?,plants and animals are multicellular,4.0
Where does the energy in ecosytems come from?,Most ecosystems get energy from plants,4.0
What lacks a centralized nervous system?,Sand dollars lack a centralized nervous system,4.0
What happens when an object is at equilibrium?,"When an object is at equilibrium, the object will remain stationary",4.0
Cycles of freezing and thawing water help to make,cycles of freezing and thawing water help to make soil.,4.0
Navigating the oceans can be more difficult during,Navigating the oceans can be more difficult during a magnetic storm,4.0
how do insects talk?,insects use sound to talk,4.0
Mantle convection causes what?,Mantle convection causes earthquakes.,4.0
what can wood be burned for?,wood can be burned for cooking,4.0
What do plants require for reproduction?,plants require fruits for reproduction,4.0
what uses whiskers for feeling?,whiskers are used for feeling by cats,4.0
What do coiled structures made of DNA and proteins determine?,coiled structures made of DNA and proteins determine sex,4.0
Cross-pollination increases,cross-pollination increases evolution,4.0
What stage is associated with apoptosis?,Aging is associated with apoptosis,4.0
Which of the following is a source of key meteorological data for forecasting,Satellites can help forecast the weather,4.0
Many animals ways of getting rid of extra heat makes bodily what decrease,Many animals  ways of getting rid of extra heat  makes bodily water decrease,4.0
What is The Euphrates larger than?,The Euphrates is larger than a stream.,4.0
What are used for protecting the eyes during experiments?,safety glasses are used for protecting the eyes during experiments,4.0
Eating something that contains pollutants has a negative impact on what?,eating something that contains pollutants has a negative impact on a dolphin,4.0
what prevents injury by forming protective plates over the ends of the fingers?,keratin prevents injury by forming protecting plates over the ends of the fingers,4.0
Cutting down trees has a what on the homes of animals in natural habitats?,Cutting down trees has a negative impact on the homes of animals  in natural habitats.,4.0
What causes edema?,An infection can cause edema,4.0
What does food contain?,food contains organic molecules,4.0
power stations which generate electricity produce gases in the atmosphere cause what,power stations which generate electricity produce gases in the atmosphere cause acid rain,4.0
A fluid rich in protein leaks out of capillaries into spaces between what?,A fluid rich in protein leaks out of capillaries into spaces between cells,4.0
What can loss of ozone lead to?,loss of ozone can mean an ozone hole,4.0
What do animals require to move?,Animals require food to move,4.0
What does vesicle transport require?,vesicle transport requires food,4.0
What do organisms require to grow?,organisms require a lot of energy to grow,4.0
Change happens to what of a species in response to changes in the environment?,changes in successive generations of a species occur in response to a change in the environment,4.0
What do plants conserve?,plants conserve water,4.0
What brings the building blocks of proteins to the ribosomes in the correct sequence?,Molecules of tRNA bring the building blocks of proteins to the ribosome in the correct sequence.,4.0
What can lead to a deteroriation in soil quality?,Wind can lead to a deterioration of soil quality,4.0
What happens when a cucumber touches a cabbage?,"when a cabbage touches a cucumber, thermal conduction occurs",4.0
What typifies life?,Oxygen typifies life,4.0
what can power plants cause?,power plants can cause acid rain,4.0
What has a characteristic life cycle that includes alternation of generations?,bamboo has  a characteristic life cycle that includes alternation of generations.,4.0
What undergoes alternation of generations?,plants undergo alternation of generations,4.0
what can a ground be used as?,a ground can be used as a conductor,4.0
What is TSH regulated by?,TSH is regulated by the pituitary gland,4.0
Mercury cannot sustain life because it is,if a planet becomes too close to the Sun then that planet cannot sustain life,4.0
What can be formed by mechanical weathering?,Lakes can be formed by mechanical weathering,4.0
what have varied life cycles?,the simplest green plants have varied life cycles,4.0
An animal requires what for survival?,An animal requires plants for survival.,4.0
What have woody trunks?,evergreens have woody trunks,4.0
Removing what from food will preserve it?,removing moisture from food preserves it.,4.0
What are some invertebrates protected by on their backs?,some invertebrates are protected by a hard shell on their backs,4.0
obligate heterotrophs get organic compounds from what organisms,obligate heterotrophs get organic compounds from dead organisms.,4.0
What are genes that are located on the same molecules of DNA complexed with proteins called?,Genes that are located on the same molecules of DNA complexed with proteins. are called linked genes.,4.0
"If a planet cannot sustain life, then the planet may be too close to what?","If a planet is too close to a star, that planet cannot sustain life",4.0
A possible downside of driving a car is,Operating an automobile can contribute to asthma in children,4.0
What are formed by flowing rivers through erosion over long periods of time?,Deep gorges are formed by flowing rivers through erosion over long periods of time,4.0
What do plants use to attract bees?,nectar is used to attract bees to plants,4.0
what do organisms aerate?,organisms aerate soil,4.0
What releases oxygen during the day but not during the night?,Blue pine releases oxygen during the day but not during the night,4.0
The body cools itself when wetness evaporates from what?,The body cools itself when wetness evaporates from skin,4.0
What often requires a lot of energy?,growth often requires a lot of energy,4.0
that which develops after primary meristems is located where in relation to vascular tissues?,that which develops after primary meristems is located within and around vascular tissues.,4.0
What color are the coastal waters where bacteria and algae that use sunlight to make food?,Something that makes coastal waters green are bacteria and algae that use sunlight to make food,4.0
What is inherited?,skin color is inherited,4.0
Which has specialized reproductive organs?,The Venus Flytrap has specialized reproductive organs.,4.0
what are cells programmed to do a set number of times?,cells are programmed to go through mitosis a set number of times,4.0
oil is formed by burial of decomposing algae being pushed down which increases what,oil is formed by burial of decomposing algae being pushing down which increase temperatures,4.0
What organisms are most likely to be saved in the winter by a greenhouse,a greenhouse can keep plants from dying,4.0
what can be heated causing H2O to evaporate and NaCl to remain?,heating oceans causes the H2O to evaporate while the NaCl remains,4.0
What reproduces asexually?,Corals reproduce asexually,4.0
Electromagnetic energy enters the body through what part of the eye?,Electromagnetic energy enters the eye through an opening called the pupil.,4.0
What is required for life?,dna is required for life,4.0
what do coral polyps form?,coral polyps form reefs,4.0
What vibrating can cause something received through the ears.,Matter vibrating can cause something received through the ears.,4.0
What do animals find protection from when using rock overhangs?,Rock overhangs are used by animals to protect against weather.,4.0
Cell division causes the process by which tissue what?,Cell division causes the process by which tissue gets bigger.,4.0
Phase changes do not change,Phase changes do not change weight.,4.0
What has a negative impact on the environment?,Trash has a negative impact on the environment,4.0
What produces electricity by burning?,Alcohols derived from biomass or living matter are used to produce electricity by burning,4.0
Which of the following affects neurons?,Botulism affects neurons.,4.0
What can measure heat?,a thermometer is used to measure heat,4.0
What is a complex interaction shared by mammals and other animals?,Playing is a complex interaction shared by mammals and other animals,4.0
What does the Earth revolving around the Sun cause?,the Earth revolving around the Sun causes winter,4.0
What is not released after riding a bike?,riding a bike does not release carbon monoxide,4.0
the health of what is positively impacted by having food?,having food has a positive impact on a plant's health,4.0
What can a flashlight use to produce light?,a flashlight can use batteries to produce light,4.0
A flower's job is to produce what?,A flower's job is to produce seeds.,4.0
Looking at what has a negative impact on eyes?,Looking at the Sun has a negative impact on eyes.,4.0
"When iron rusts, it becomes what on the surface?",when iron rusts it becomes orange on the surface,4.0
Where does the energy to evaporate perspiration come from?,Perspiration comes through pores and is evaporated by energy from body heat.,4.0
plants live just about everywhere where?,plants live just about everywhere on our planet,4.0
what water is calmer?,coastal water is calmer,4.0
what type of vapor cooling causes that vapor to condense?,h2o vapor cooling causes that h2o vapor to condense,4.0
