question,sentence,sia_score
You can use what to fake sunlight for plants?,a plant light is used for help plants by mimicking sunlight,2.6319999999999997
"In a plant such as a cactus, water is held within","internal tubes are phloem
",2.096
"The size of eyes matter relevant to sight and sight ability, given that","elephants have larger eyes than ants
",2.7439999999999998
In the 60's people watched on TV while for the first time people walked on,"the moon is a satellite without much air in our solar system
",2.2319999999999998
Greenhouses work because,the greenhouse effect is when carbon in the air heats a planet 's atmosphere,2.336
what does a cactus do with water,a cactus stores water,2.224
"In the intermediary before rain falls, observers may note","the skies are black when the weather is stormy
",2.056
Trees grow growth-rings one time each year; so which of these is correct?,"lines in a tree bore will equal the number of rings in a tree
",2.176
What causes a chemical reaction?,"edible items can be eaten
",2.072
Light produced by deep sea animals is used for?,producing light is used for attracting prey by some deep sea animals,2.3680000000000003
"If a glacier going past a dock brushed up against some large boulders there, the stones would",glaciers cause scratches in rocks,2.408
Which changes an object's shape and mass?,"smashing an object changes breaks it down
",2.352
"A planet rotating causes cycles of day and night on that planet, like on","Jupiter is a planet
",2.536
When the scientist finally completed his new invention he thanked his,scientists make observations,2.12
Birds are a vehicle for spreading the seeds of what?,"oaks are large trees
",2.472
A television may turn on at the push of a button because,pushing a button sometimes completes a circuit,2.6239999999999997
"Aside from plants, lizards also eat bugs for","sustenance is nutrients
",2.36
Mice,a mouse gives birth to live young,2.576
The way that squirrels put away food during the cool season ensures that they,squirrels gather nuts in the autumn to eat during the winter,2.3040000000000003
The property of fur that is a result of the way that it reflects or emits light is,the color of fur is an inherited characteristic,2.64
"There are creatures which, depending on species, have varying numbers of body parts. Arachnids have a certain number, while humans have a different number, and these numerous parts can be attributed to","inherited characteristics are predetermined
",2.16
"if a person looked a their head in a mirror, and moved toward it, what would happen?",a mirror reflects light,2.008
Louis Pasteur found a way to,Louis Pasteur invented pasteurization,2.464
usually plants die or become dormant after the,usually plants die or become dormant during the winter,2.8
"Soil is produced naturally when, over a period of many years","wearing down stones is weathering
",2.392
Water needs to be clean in order for someone to safely drink it. Drinking polluted water is bad because it is the same as drinking,polluting means something poisonous is added to an environment causing harm to the environment,2.12
What substance found in rocks shares it's name with an object which can take wrinkles from an item worn on the body to cover the skin from the elements?,"Iron things are made of iron
",2.1919999999999997
Some animals get caught easily by other animals because they are slow while the predators are,some predators move quickly to catch prey,2.464
A whitetail that lives in a forest will be required to adapt to,"harsh precipitation is a part of environmental changes
",2.504
"A storm ravages a town for a week straight, complete with deluges of rain. If someone in that town needs a source of water, it is","as the amount of rainfall increases in an area , the amount of available water in that area will increase",2.2
"Aside from plants, lizards also eat bugs for",lizards eat insects,2.8080000000000003
Why do zebras choose to live where they live?,"edible items can be eaten
",2.072
If I wanted to create noise I could,"A chopstick might make a more musical sound.
",2.392
Poison causes harm to,poison causes harm to living things,2.6319999999999997
"An area of land has more rainfall, producing more plants of various species. The plant boom causes","boosted ecosystems have greater populations of organisms
",2.432
A large turbine in a field can produce electricity to power devices when,wind is used for producing electricity,2.8960000000000004
Jane's hat flew off her head while standing still on a hilltop. This could be because,uneven heating of the Earth 's surface cause wind,2.032
A person who wants to raise alligators will need a supply of food such as,"bass are fish
",2.008
Which of the following crops was the first staple in the human diet?,humans eat crops,2.104
sunlight is a heat source emitted from,"our only star provides solar energy
",2.448
"The moon is bright in the night sky, especially when full because",the moon reflects sunlight towards the Earth,2.656
"A penguin, while a bird, would avoid living in",some birds live in forests,2.528
"Comparing an arid acre to a jungle acre, the jungle acre will host","moisture causes humidity
",2.16
An example of an electrical circuit could be,"lights brighten areas
",2.128
In the food chain process what has the role of producer?,In the food chain process a green plant has the role of producer,2.3040000000000003
Nocturnal predators hunt during when?,"sleepy time is night
",2.352
A thing which is a producer in the food chain is most likely to be a,producer is a kind of role in the food chain process,2.2
A frog eats,"six legged entities are insects too
",2.568
A way to illuminate a dark study is to,"match to a wick is lighting a candle
",2.12
A lack of water has a direct connection on the amount of available,"sustenance is nutrients
",2.48
Earth is warmed mostly by a large yellow dwarf star that is,the Sun is the star that is closest to Earth,2.176
An animal is likely to be negatively impacted by food with,food spoiling has a negative impact on the health of the animal that eats that food,2.08
If an environment experiences a long drought,"rivers dry up sometimes
",2.032
Energy will be expended for,"a monkey is an animal
",2.336
"If a bird is avoiding detection by a cat simply by sitting still, it probably is also utilizing","merging with background is a way to camouflage
",2.272
Preparing food at the proper temperatures,"pasteurization uses high heat and bacteria are illness causing agents
",2.04
You can eventually obtain water from a lake even if it's,"ice is frozen water
",2.64
What contains nutrients for plants?,soil contains nutrients for plants,2.208
"Things that are shiny can reflect light, so all of these will aside from",shiny things reflect light,2.8480000000000003
A light bulb turns on when it receives energy from,"a power cable is a conductor
",2.032
sugar dissolves in what when they are combined?,"ocean liquid is water
",2.2159999999999997
"If a tootsie roll has kinetic energy that is visible, it is likely","sliding is a motion
",2.568
Abusive relationships often lead to the abused in,"abusive relationships are harmful relationships
",2.3680000000000003
A substance that has two hydrogen atoms and an oxygen atom is,"renewable is endlessly available
",2.12
Which is true?,a star is made of gases,2.384
What fails to work during a power outage?,"an electric fan converts electrical energy into mechanical energy
",2.392
Chewying and swallowing a steak,"chewing breaks down food
",2.72
Filling a glass with markers for cup amounts on it would be,An example of collecting data is measuring,2.12
Large trees block sunlight from reaching what?,"natures floor is the ground
",2.056
"If a person is selling beads every day and then zero people choose to buy more beads, the seller will","stalling income is a lack of current income
",2.3680000000000003
Which is a positive impact on the bio environment?,"trash that can be used for a new purpose is recyclable
",2.504
Magma piled on the Pacific bottom tho form,"Honolulu is an island made from lava
",2.44
A rainbow is caused by rain and what?,"solar rays are sunlight
",2.064
"A person wants to show that they have lost money with their business, and they want to show someone. They decide to use a graph that shows","line graphs have ups and downs
",2.7039999999999997
Which is an example of the type of body of water that contains the most water on Earth?,"The Caribbean Sea is part of the Atlantic Ocean
",2.008
What requires energy to move?,an animal requires energy to move,2.408
"A person needs to make a stove run with only energy that will run forever, so they make a",solar energy is an inexhaustible resource,2.3280000000000003
"A needle lined with magnets will pull north. If north is to the right and you want to go west, you'd walk","when the needle of a compass lines up with Earth 's magnetic poles , the needle points north",2.2319999999999998
Illness is prevented in people by reducing what in food?,reducing bacteria in food prevents illness in people,2.064
Which kind of behavior has a fixed action pattern?,migration is an instinctive behavior,2.448
Why might you want to wear safety goggles while working in a lab?,"Caustic liquid man-made substances would be chemicals
",2.2640000000000002
A magnet would most likely stick to,"a girder is made with carbon steel
",2.296
People are switching from coal to wind to,wind is used for producing electricity,2.1919999999999997
You can etch the surface of a windshield with,"jasper is a variation of quartz and a windshield is made of glass
",2.72
Replacing a natural resource can be,"a lake that dries up is gone
",2.2
oceans contains most of earth 's,oceans contains most of earth 's water,2.8560000000000003
In southern Africa we are more likely to see snow in,snow falls during the winter in some environments,2.336
Wind can,"Erosion can turn a statue to dust.
",2.3040000000000003
which of these would be easiest to measure in volume terms?,"wine is a liquid
",2.144
Which would be prevented by safety goggles?,safety goggles are used for protecting the eyes during experiments,2.472
A landslide may bring immense problems to,a landslide is when gravity rapidly moves rocks or soil downhill especially after a rain storm,2.136
A person rescues a small chipmunk and it requires nourishment. The person obtains,"oak pips are tree seeds
",2.072
Which is the most accurate statement?,"octopus can avoid predators by hiding
",2.608
an animal needs to burn complex carbohydrates to,an animal requires energy to move,2.296
When would the mail least likely arrive?,"a blizzard is a very snowy day
",2.048
"On a morning when the weather is clear, the sky is","a bright clear day implies sunlight
",2.656
"If someone wants to see if breath is moist, they can","breathing on a tissue dampens it due to breath's water vapor
",2.472
Weathering can,"Erosion can turn a statue to dust.
",2.512
Microscopes,"telescopes and magnifying glasses make things larger
",2.36
Digestion is when an organism takes in nutrients from what?,"sustenance is nutrients
",2.8160000000000003
A pigeon is hungry so it snags a slice of pizza off a table using its,a beak is used for catching prey by some birds,2.088
What would you measure in a graduated cylinder?,"Perfume is a liquid
",2.296
"In the intermediary before rain falls, observers may note",grey clouds appear before precipitation,2.432
What enters the eye through the pupil?,"light energy involves all light
",2.168
Heavy rains cause flooding which,heavy rains cause flooding,2.8080000000000003
If something is in the sunlight what will it absorb?,if something is in the sunlight then that something will absorb solar energy,2.6319999999999997
What United States unit of measurement would be most comparable to a meter stick,a meter stick is used to measure length,2.7760000000000002
A reptile's body temperature,"as temperature in the environment increases , the body temperature of a reptile in that environment will increase",2.84
An unseen force tugs at celestial bodies giving them,gravity causes orbits,2.248
"Like humans, when some animals get hot, they do what in order to lower their body temperature",sweat is used for adjusting to hot temperatures by some animals,2.024
Spending less time in the shower,"the water heater holds hot water for showers
",2.8560000000000003
Alice flipped a switch and the ceiling fan started running because,"a closed circuit is completed
",2.424
what is an electrical energy conductor?,"swords are made of carbon steel
",2.144
something will attract magnets if that something contains a large amount of what kind of material?,"rare-earth minerals are magnetic
",2.352
A person uses all of a renewable resource that they had in a bucket. They can get more of it by,a renewable resource can be replaced,2.0
Special tissues in plants transport minerals throughout what?,"flora are plants
",2.2640000000000002
People shiver when they are cold and animals:,cold temperatures cause animals to shiver,2.784
a full moon will block which of these,"a full moon is at the opposite end of the lunar cycle
",2.424
Knowing what to do without ever being taught is known as,an animal knows how to do instinctive behaviors when it is born,2.416
A paper clip is often made of,"cobalt is a metal
",2.36
"some countries can be in bed and other are in the middle of the day enjoying the outdoors, why?","rotation of planet causes setting of sun
",2.072
"A shoe seems gold and green at first, then at second glance looks blue and silver. This could be due to",refraction causes something to look different,2.072
Which is most harmful to a human?,"dynamite going off is an explosion
",2.6639999999999997
For nutrients to be absorbed from food it needs to,"the mouth takes in food
",2.44
Soil has everything a tree needs to,"trees develop by using nutrients
",2.456
Which is true?,"coffee is a hot substance
",2.136
Seed dispersal is when the seeds of a plant are moved to a new environment from where?,"flora is plants
",2.544
Where does an object feel the least pressure?,"a rain puddle is a liquid
",2.2319999999999998
I can use a microscope to,magnifying makes seeing small things easier through using a microscope,2.28
What former planet is yet to clear its orbit?,pluto has not cleared its orbit,2.464
Winter snows follow Autumn's falling leaves by,a new season occurs once per three months,2.32
"If a day is dawning and grass is glistening, then","chilly is cold
",2.064
"Cold-blooded animals are unable to live in cold climates, which is why you always see this type of creature in  hot areas",a reptile is cold-blooded,2.176
Some plants have developed the ability to do what with their seeds?,"Some plants have developed the ability to catapult their seeds.
",2.84
High tide is a stage in the,high tide is a stage in the tide cycle process,2.64
A flower may consider its entire point in living to be,"genetic components of flowers are seeds
",2.424
The strength of a hurricane increases as moisture and what increase?,"hotness is increased temperature
",2.096
Which would be a source of pollutants?,"cars make pollution
",2.344
What kind of energy causes evaporation?,"hotness is heat
",2.56
An example of a mixture is,"Terra cotta is clay mixed together.
",2.7760000000000002
I can use electrical energy to,"Toasting a bagel uses electrical energy.
",2.872
Gills are used to breath water by what?,"salmon is an aquatic animal
",2.272
What job site would most likely utilize powerful magnets that use electricity?,"scrap yards use powerful electromagnets
",2.392
Which of these is less likely to cause pollution,"A mountain bike is a bicycle designed for off-road cycling
",2.224
Human astronauts have visited,"the closest body in space to the earth is the moon
",2.568
A woman looking through binoculars is watching something,"binoculars would be useless for observing something near, close or beside the viewer
",2.344
After a whiteout you need to,snowy means a large amount of snow,2.3680000000000003
An example of a consumer would be,"deer sleep in grass for warmth
",2.416
What can can cause more harm then good when used?,"anti bacteria soap destroys good bacteria
",2.536
Why would something appear blue?,if an object is blue then that object reflects only blue light,2.432
"if a person used a knife to repeatedly scrape an object, what will happen?",scraping an object may cause small particles to break off of that object,2.088
what celestial body is after the 8th one in this solar system?,"pluto was the 7th planet
",2.72
"A bad spot in town, as far as nature and the health of Earth is concerned, will be","heaped refuse is what is in landfills
",2.384
The turtle which lays the most eggs on a beach will,"hatching eggs is producing young
",2.544
On a cloudy day,"the sky is bright in sunny weather
",2.2
"If a bird has to adapt to hot or cold temperatures, it will find difficulty as it is","controlling blood temps is a part of being cold-blooded
",2.552
Which would likely be to blame for removal of habitats?,if a habitat is removed then that habitat is destroyed,2.208
"Tungsten is a metal which is found in large amounts in filaments, which are used in incandescent light bulbs. These light bulbs work because","the filament converts the energy in a light bulb
",2.248
Flora requires chlorophyll to,"chlorophyll is responsible for photosynthesis and undergo natural development is to grow
",2.6719999999999997
Which of the following is most likely to occur?,"logs are felled trees
",2.048
"Tungsten is a metal which is found in large amounts in filaments, which are used in incandescent light bulbs. These light bulbs work because","filament glows from heat
",2.256
A weed will only live in the,"dirt is soil
",2.176
Landfills can cause,"Bad odors contribute to odor pollution.
",2.8480000000000003
Gravity lessens as you go,"as distance from an object decreases , the the pull of gravity on that object increases",2.1919999999999997
As demand for product lags,"retailers sell product
",2.6
If two objects have the same charge then what will they do to eachother?,if two objects have the same charge then those two materials will repel each other,2.36
"if a bush fire breaks out without human action, what might have happened?","mercury is found in thermometers
",2.456
"The Earth spins around and around, and in order to finish one cycle of this spinning","one seventh of a week is one day
",2.008
Which of these items was able to keep things cool thanks to electrical conversion?,"table fans use electricity
",2.736
"For a hungry hawk chasing a mouse, if the mouse darts away, the hawk must","adjusting speed can increase speed
",2.416
Pasteurization kills,"pasteurization uses high heat and bacteria are illness causing agents
",2.488
Which of the following is likely to cause the most erosion?,water causes the most soil and rock erosion,2.096
A heavier object,"muscle power is a force
",2.568
Which is an example of the type of body of water that contains the most water on Earth?,oceans contains most of earth 's water,2.616
Because lack of sustenance 1 out of 4 people are,"1 out of 4 people in the world are chronically hungry.
",2.824
Scales,a scale is used for measuring weight,2.2
Hummingbirds contribute to seed dispersal by,"sustenance is nutrients
",2.352
Which would block the most sunlight?,"an oak is a plant
",2.3280000000000003
Which relationship is true?,"a soccer ball and the turf interact with each other via friction
",2.592
"Dairy has things in it that would make humans sick, so in order for dairy to be edible, this process has to take place",pasteurization reduces the amount of bacteria in milk,2.032
Putting a cardboard box in a bin instead of the trash can,"landfills contain heaps of trash
",2.448
You're more likely to shiver on a,"mountain ranges can be called ranges
",2.144
"If a person blows on another person's arm, then nerves will","nerves alert the brain to sensations
",2.7039999999999997
What is an example of predators eating prey?,predators eat prey,2.4
changes in an environment cause plants to,changes in an environment cause plants to adapt to survive,2.184
Taking temperature is basically when,"warmth is heat
",2.36
"If the Earth revolved around another planet instead of a star, what might it lack?",the Earth revolving around the Sun causes the seasons to change on its axis,2.2319999999999998
Consumers eat other what?,consumers eat other organisms,2.144
What decreases in an environment as the amount of rain increases?,"less solar light is less sunlight
",2.024
"During an earthquake, piles of earth can",earthquakes cause rock layers to fold on top of each other,2.384
Pressure is quite high in spaces such as,"sea floor is bottom of the sea
",2.3280000000000003
A chemical reaction can be caused by,"vinegar is oxidized acohol
",2.3280000000000003
matter is made of what?,matter is made of molecules,2.7039999999999997
insulation for the purposes of moving electrons involves,electrical insulation requires wrapping a conductor in an insulator,2.1919999999999997
If you place a piece of paper on a hot object it will leave a,if an object is hot then the surfaces of that object are hot,2.44
"Switches can be used to cease electronic energy flow, such as when",a switch is used to stop the flow of current in an electrical circuit,2.56
Which organism likely contains chlorophyll?,"bamboo grows quickly
",2.072
the breaking down of food into simple substances occurs in the,"sustenance is nutrients
",2.504
Which is true?,"coffee is a hot substance
",2.136
A new walnut tree sprouted up 200 feet away from the nearest other walnut tree.,"a squirrel is a living thing
",2.088
"When wheels are squealing on a blacktop, friction","friction works against motion
",2.872
What can perform photosynthesis?,"shrubs are composed of plant cells
",2.272
A sunburn is most likely to happen after hiking in a,a desert environment usually has a lot of sunlight,2.248
Which example best shows the effect of vibration on matter?,"as the amount that matter vibrates increases , sound produced increases",2.176
Coal mines are an essential for what industries?,coal mine is a source of coal under the ground,2.472
What does the digestive system break down into simple substances?,the breaking down of food into simple substances occurs in the digestive system,2.44
The cell of a plant when photosynthesizing may most require,"access to roofless space provides plants and plant cells with sunlight
",2.7760000000000002
Ice melting erodes,"granite is a type of rock
",2.496
The celestial object closest to Earth is,"the Earth orbits the sun
",2.256
migration is when animals travel from the northern state such as north dakota to Texas during what segment of time?,An example of migration is birds flying south in the winter,2.024
How can a woman's compact best help if she is lost on a mountain?,a mirror reflects light,2.008
It's hard to manage a truck where there's,"foggy conditions are bad weather
",2.248
A car drives right past the gas station because it's motor is,an electric car contains an electric motor,2.784
An animal can use what to help find a partner,"vibrant plumage would be a colorful part of a bird
",2.872
The moon reflects sunlight to arrive at,"the moon effects the tides
",2.144
Seasonal changes happens,An example of a seasonal change is plants becoming dormant in the winter,2.6239999999999997
Who is most likely to get a job at a lumber yard?,"timber companies maintain lumber yards where they hire sawyers to buck the wood
",2.1519999999999997
"A compass' needle points north the same way that geese know to fly south in winter, because of","Earth's magnets pull on compass needles
",2.312
How long does it take Earth to fully revolve one time,"there are 1440 minutes in a day
",2.536
Seasons cause change to what?,seasons cause change to the environment,2.6239999999999997
The below surface pebbles of the rio grande are of non rough edges because of?,"non rough is smooth
",2.048
Hawks eat,hawks eat lizards,2.6239999999999997
An example of a chemical change is,"lactic acid curling milk to create yogurt is a chemical change
",2.8480000000000003
More sunlight will be absorbed by,"wide, smooth leaves would be flat
",2.608
Quartz can very easily damage,quartz scratches glass easily,2.2640000000000002
what do the contents of electromagnets resemble?,"gas containers are usually cylindrical
",2.144
Two rabbits frequently copulate. The result for the rabbits will likely be,"broods are offspring
",2.272
Animals adapt to their what?,"nature places are environments
",2.104
As water gets warmer,"hot water over ice will turn the ice back into liquid form
",2.56
A woman looking through binoculars is watching something,binoculars are used for observing distant objects,2.608
How does erosion impact a river?,erosion causes a river to become deeper and wider,2.336
"Lightness may be seen reflected more clearly and brighter off of lighter colored objects, so an example would be","as lightness in color of an object increases , the ability of that object to reflect light will increase",2.352
To naturally increase the amount of organic matter in soil add,"fungi are decomposers
",2.256
It is vital to your health to have a,"bacteria are single celled organisms
",2.336
"Every hour, the tiny kitten cried for milk. It was true that","milk is pasteurized
",2.28
how many hours will it take the planet to complete a spinning motion?,"there are 24 hours in a day
",2.2159999999999997
"When a water balloon is frozen, it will contain","ice is frozen water
",2.552
Which would reach the other side of a room the fastest?,a flashlight emits light,2.456
Waxy leaves are used by some plants for what?,waxy leaves are used for storing water by some plants,2.36
An example of a living thing needing respiration in order to efficiently use energy is,"crows are living things
",2.416
What does a seed contain stored food for?,"flora are plants
",2.128
What is an example of the fact that crop rotation renews the soil?,crop rotation renews soil,2.6319999999999997
"what could it be indicative of, if an animal's fur has grown thicker?","winter occurs when the hemisphere is facing away from the sun
",2.048
"In the natural world, camouflage is used by animals to","insects run from lizards to avoid being eaten
",2.184
Which organism uses xylem for materials transport?,"A saguaro cactus is a plant with xylem
",2.64
What uses eyes to see by sensing light?,eyes are used for seeing by animals by sensing light,2.7439999999999998
Nerves all have,nerves are made of nerve cells,2.376
An inexhaustible resource could be,wind is an inexhaustible resource,2.16
What contains nutrients for plants?,"ground minerals are contained in soil
",2.56
When a plant is water the liquid goes from the soil area to where it is needed using what system?,xylem carries water from the roots of a plant to the leaves of a plant,2.432
A camera can take an image and,a camera is used for recording images,2.576
"A pot of water is ready to cook noodles when it is boiling, as noted by",boiling is when liquids are heated above their boiling point,2.352
A pepper would be hottest if it was,"peppers left in the sun absorb sunlight
",2.656
Where would rocks be the smoothest?,contact between rocks over long periods of time causes rocks to smooth,2.16
Magma piled on the Pacific bottom tho form,"Honolulu has mountains
",2.144
The middle of the day usually involves the bright star nearest to the earth to be straight overhead why?,"human planet is earth
",2.2159999999999997
riding a bike helps prevent,riding a bike does not cause pollution,2.1519999999999997
What resources can be used over again?,"sustainable is renewable
",2.056
What rock is likely to be more mechanically weathered?,mechanical weathering is when rocks are broken down by mechanical means,2.464
A person may source warmth from,"embers are hot remains of a fire
",2.576
Elimination of their body's waste is,all living things eliminate waste,2.6319999999999997
"If I run my finger across a sheet of plain paper and a sheet of sand paper, which will have greater friction?","sand paper is rougher than plain paper
",2.512
What is a source of oxygen through photosynthesis?,plants are a source of oxygen through photosynthesis,2.736
To calculate distance divided by time you would need a,"a speedometer measures speed
",2.608
"In a drought, a resource that will be lacking is","droplets are moisture, or water
",2.272
What anchors plants into the soil are called,"The American television miniseries about slavery is called Roots.
",2.56
Shivering is when an animal creates heat by shaking to keep the body what?,"agreeable temperatures are warm
",2.408
A car rounds a corner and the driver taps the breaks. The breaks being tapped causes,"slamming the breaks causes the car to skid
",2.832
"as the amount of polluting gasses in the atmosphere increases , what will also increase in the atmosphere?","as the amount of polluting gasses in the atmoshere increases , the atmospheric temperature will increase",2.44
a reptile that was brown an hour later is now green because,"a leafy shrub is green
",2.504
Candace pushed a button outside her friend's house and a buzzer went off inside the house.,"a closed circuit is completed
",2.416
Ferrous metals can comprise items such as,"suit of armor is metal
",2.784
A person wanting to do something good for the environment will,"putting plastic in special containers is recycling
",2.552
"After a wildfire, the surviving creatures need to","finding new homes is moving
",2.76
matter in the liquid phase has what shape?,Matter in the liquid phase has variable shape,2.592
Wildfire is when what catches fire?,"timberland is a forest
",2.656
Organic mass is gained in the earth by insect,"insects are garbage eating decomposers
",2.416
if food has lack of immediate use for energy then it will,"the digestive system turns food into fat to keep for later when not used
",2.408
which of these formations are typically the highest point from sea level?,a plateau is formed by a buildup of cooled lava,2.512
An example of combining two substances is,An example of combining two substances is pouring one substance into the other substance,2.864
What might damage a hard walkway that runs alongside a street?,if a tree is located near a sidewalk then the roots of that tree might crack the sidewalk,2.08
What does a frog eat?,"mayflies are a kind of bug
",2.496
What purpose does a plant light serve?,"sunlight gives energy
",2.2880000000000003
A plane travels through what?,a plane travels through the atmosphere,2.376
The running of the bulls in mexico is a source of what type of energy for the object?,motion is a source of kinetic energy in an object,2.096
Two animals with similar diets living in the same environments leads to them,if two animals eat the same prey then those animals compete for that pey,2.448
How is a place of lower elevation affected by flooding when compared to a higher location?,"as elevation of a place decreases , how much a flood will affect that place will increases",2.544
Where would a river flow downwards?,the slope of the land causes a river to flow in a particular direction,2.2880000000000003
Bees,"Nectar is a sweet liquid found in flowers
",2.8080000000000003
How is a location of lower elevation affected by flooding as opposed to a higher location?,"as elevation of a place decreases , how much a flood will affect that place will increases",2.592
"Ultimately, what one thing is needed for energy for any living thing on Earth?","the sun is the closest star to earth
",2.312
The sun shines the least when an area has,"as the amount of rain increases in an environment , available sunlight will decrease in that environment",2.16
A cup of hot tea next to a glass of iced tea will make which become colder?,"a cup of hot tea and a glass of iced tea are some things which transfer heat
",2.6639999999999997
If Earth has poles that are magnetic,"compass needles aim towards magnetic poles
",2.528
John's dog seemed to be getting chubby. He concluded that,"overindulging in food is eating more food
",2.592
A light bulb will turn on when what flows to it?,"zapping energy is electricity
",2.1519999999999997
To see evaporation you can wrap,evaporation causes amount of water to decrease,2.032
Once we use all the aluminum in the world we can get more by,aluminum is a nonrenewable resource,2.048
The reverse of evaporation in terms of weather phenomena is,precipitation is when rain fall from clouds to the Earth,2.296
A person puts a potato in some embers on the edge of a campfire. The embers are,"thermal release in exothermic
",2.12
A simple machine like a screw will need,"adjusting is adapting
",2.392
Microscopes,magnifying makes seeing small things easier through using a microscope,2.408
Taking shorter hot showers,"hot water for showers comes from a water heater in most homes
",2.312
The moon's surface,the moon 's surface contains highlands,2.184
audible vibrations can travel freely through,"air is made up of nitrogen and oxygen
",2.3040000000000003
What slows down the transfer of heat?,"A wooden wall is a thermal insulator
",2.7439999999999998
"a soil in a village seems to be nutrient deficient, what might have happened?",farming cause nutrients in the soil to decrease,2.376
Winter in the northern hemisphere is occurring on,December is during the winter in the northern hemisphere,2.04
Humidity is the amount of what vapor in the air?,humidity is the amount of water vapor in the air,2.32
A storm moving over the earth will dump more rain on a,a grassland environment receives more rainfall than a desert,2.12
air masses are pushed by westerlies but stopped by,jet streams may deflect the air masses moved by the prevailing westerlies,2.36
In sunny weather I should try,clear weather means sunny weather,2.248
We can calculate a speed if we know a number of,calculating speed requires knowing distance travelled,2.6
The most daylight is two months after,the amount of daylight is greatest in the summer,2.056
What item is high in moisture?,"wet means moist
",2.6
A reason there is so much debris and damage during tornadoes is due to rocks that are getting,breaking apart rocks can cause debris,2.752
The moon reflects sunlight to arrive at,"the ocean is on the Earth
",2.376
What requires energy for survival?,"giraffes are living things
",2.2159999999999997
"While robins refuse to eat much aside from insects, worms and fruit, most birds can make a nice meal out of","wildflower kernels are seeds
",2.336
"If I run my finger across a sheet of plain paper and a sheet of sand paper, which will have greater friction?","sand paper is rougher than plain paper
",2.512
A cypress tree's stout roots splitting asphalt is an example of,"weathering occurs over a length of time
",2.04
Which is the correct relationship?,"the Earth orbits the sun
",2.736
A chemical reaction to vinegar or to baking soda can be caused by adding,"cola is very acidic
",2.2880000000000003
A flashlight converts chemical energy into what kind of energy?,"illumination is light
",2.472
"If a thing has a certain amount of itself, then it can be described using","volume is an amount
",2.36
"as a source of light moves directly overhead of an object , the size of the shadow of that object will do what?","as a source of light moves directly overhead of an object , the size of the shadow of that object will decrease",2.5839999999999996
"As dry soil becomes more and more broken up, it will always contain more",the looseness of soil increases the amount of oxygen in that soil,2.496
"If an animal is living, then","breathing is taking in air
",2.496
The rhino population is smaller than before because,"some people are killing rhinos and selling rhino horns to people who want them for health remedies
",2.464
A balance can measure the weight of,a balance is used for measuring weight of a substance,2.728
"On a wet planet, the amount of seas will",oceans cover 70% of the surface of the earth,2.2319999999999998
A person hits two drumsticks together and,"a persons insides are their body
",2.28
Where's the best place to mine for coal?,coal mine is a source of coal under the ground,2.3680000000000003
Gas will rise when what happens to it?,"blazing temps are heat
",2.208
Freezing point is best represented by,"an ice sculpture is a solid
",2.784
"After a week of storms, the nearby lake now has more",storms cause bodies of water to increase amount of water they contain,2.32
Flashlights require batteries,a flashlight requires a source of electricity to produce light,2.6
A white bear lives in a place that is,polar bears live in cold environments,2.408
A household appliance prepares food using electrical energy and,a toaster converts electrical energy into heat energy for toasting,2.32
Wildfire is when what catches fire?,"timberland is forest
",2.72
while passing Jupiter the,"stronger gravity means an increase of gravity
",2.72
Which relationship is true?,metal is a nonrenewable resource,2.44
It becomes cold enough for heavy clothing in December in the northern hemisphere because,"it's axis is what cause the tilt or wobble
",2.008
A peach pit holds the beginning,"nutrients are food
",2.1519999999999997
Porpoises move fastest in,"saltwater is the ocean
",2.408
Grass snakes live in what?,"turf is grass
",2.824
chlorophyll,a chloroplast contains chlorophyll,2.016
The turtle which lays the most eggs on a beach will,"as the number of eggs laid by an animal increases , the number of eggs that hatch will increase",2.84
Falcons reside best in,"Scottish moors are a habitat
",2.48
which of these would be most healthy?,"3 meals a day is standard
",2.5839999999999996
An object inside a freezer will become less excited with energy an therefore become,something in a cold place becomes cold,2.104
"A person needing to cook up a burger, but lacking a grill or fire, can heat burger meat on","a running engine is how the car engine gives off heat
",2.104
What contains chlorophyll?,a chloroplast contains chlorophyll,2.3280000000000003
Which object would be best at heating up in the sunlight?,absorbing sunlight causes objects to heat,2.56
What cells can perform photosynthesis?,plant cells can perform photosynthesis,2.504
What can cause objects to repel each other?,magnetism can cause objects to repel each other,2.056
An animal needs what for for growing and repairing?,"sustenance is nutrients
",2.176
"If a person wants to save the environment, a thing they can try is","reusing plastic is better than throwing it away
",2.392
"In a strong tempest, a large boulder may be","river stones are smoothed by weathering
",2.136
Rocks folded over and over which developed,"tall areas are mountains
",2.272
"A person using a compass knows that the needle points north, so the person wanting to go south will",a compass is a kind of tool for determining direction by pointing north,2.432
Corn can sometimes,"corn can fuel buses
",2.448
In the food chain process a cattail has the role of,In the food chain process a green plant has the role of producer,2.496
Which would an ecologically minded individual most support?,"windmills harness wind
",2.336
The way that the planet spins and moves through space can effect how,stars appear to move relative to the horizon during the night,2.2640000000000002
"If something is a raw material in a process, then that something is",if something is a raw material in a process then that something is required for that process,2.552
An example of how melting is achieved is seen in,melting means changing from a solid into a liquid by adding heat energy,2.096
The warmest part of the year happens while,summer is when a hemisphere is tilted towards the sun,2.28
Which is likely true about water?,"as the surface area of a body of water increases , evaporation of that body of water will increase",2.384
objects made of what cause refraction of light?,objects made of glass cause refraction of light,2.104
